jpyj	戒严
lbuv	老蚌生珠
vtpm	专题片
jbxl	进香
icqm	朝前
jkgd	井盖
jbvj	进站
mddj	埋单
kjuz	刊首
jbyi	进益
tahv	塌毁
jbic	进剿
tjtu	坦途
jbww	进位
jbui	进食
xlhs	雪里红
jkug	井绳
jbvi	进纸
jbjm	进谏
jbjk	进京
jxgv	吉星高照
jbhu	进户
jkdi	井底
luya	露芽
jiqi	吉期
xiqt	喜鹊
xiho	喜获
luyb	露阴
jxlk	嘉陵
xilm	喜联
gujb	鼓劲
lutd	露台
gumo	鼓膜
luru	露乳
etjn	二踢脚
luxs	露胸
guvh	鼓胀
guds	鼓动
xiyu	喜雨
guqi	鼓起
guve	瞽者
lvqk	老中青
gupi	鼓皮
luyj	露眼
jivc	吉兆
hvry	壶中日月
jiui	吉时
jiri	吉日
xigo	喜果
jixk	吉星
lmdu	雷鸣电闪
xitp	喜帖
gufg	鼓风
luqp	露怯
xidj	喜蛋
jxdk	嘉定
xiyj	喜宴
jian	吉安
jita	吉它
jixs	吉凶
gujn	鼓角
xiqm	喜钱
gule	鼓乐
jxmm	嘉勉
xibc	喜报
xikj	喜看
xiqi	喜气
lubd	露白
guuz	鼓手
gulz	鼓楼
guiv	鼓槌
xiqm	喜迁
jili	吉利
xiww	熹微
jxhe	嘉禾
jkuv	进口税
xiwf	喜闻
lutz	露头
jiuz	吉首
lubw	露背
xinu	喜怒
jimu	吉姆
dylk	动员令
jphh	颉颃
jiyj	吉言
tyui	填鸭式
xpzz	协奏
lwds	雷动
wswl	无思无虑
lwji	雷击
xpli	协理
uzvt	声罪致讨
wgpd	顽固派
lwbc	雷暴
lhdu	雷轰电闪
nhgx	南回归线
lwhs	雷轰
xpli	协力
mgzw	卖国贼
wbfy	无边风月
dtce	地图册
xltx	协力同心
lwho	雷火
jtvi	井田制
wztd	无罪推定
jkfw	救困扶危
yuji	运输机
xpuv	协税
usxu	十四行诗
qtwu	求田问舍
lwgs	雷公
xpzo	协作
lwno	雷诺
lwvz	雷州
jijp	击节
baji	坝基
xmyi	献艺
njqu	南区
xmhx	献花
bazi	坝子
njyh	南阳
tjxm	坍陷
njts	南通
tjtd	坍台
njda	南大
jipo	击破
wfsl	无风三尺浪
njmm	南面
jikx	击垮
ltvi	老同志
njdz	南都
njtm	南天
njpk	南平
njhv	南汇
njhu	南湖
jiuv	击水
jivh	击掌
njmk	南明
xmyk	献映
njgv	南归
jivs	击中
dokz	垛口
jixl	击响
njgo	南国
njqu	南曲
njan	南岸
dbuc	地崩山摧
jibd	击败
njlk	南岭
njdj	南丹
jifa	击发
njfw	南飞
gflu	鼓风炉
xmli	献礼
jnwd	境内外
kber	坎贝尔
xmjb	献金
xmji	献技
jida	击打
gfji	鼓风机
njlu	南麓
xmci	献辞
njjp	南街
xmce	献策
xmxp	献血
jygr	嘉峪关
njdr	南端
njjn	南郊
jihv	击毁
jitv	击退
xmmw	献媚
njxy	南巡
njdr	南段
jidc	击倒
jijm	击剑
njce	南侧
jiuh	击伤
njhx	南华
njww	南纬
njxm	南线
tjso	坍缩
jitj	击弹
xmji	献计
njqi	南齐
xmci	献词
njmj	南蛮
fuyl	封山育林
njth	南唐
kkjk	块茎
cjqy	才尽其用
vrvu	专著
vrqu	专区
jujl	教书匠
vrhj	专函
mdle	卖了
ihyr	场院
ugvh	声障
mdjb	卖劲
kklw	块垒
xycb	喜忧参半
ugma	声码
vryz	专有
ugya	声压
ugww	声威
vizd	志在
kvhc	亏耗
wwai	违碍
wyef	无翼而飞
viyr	志愿
ugql	声腔
vrkr	专款
viui	志士
viqu	志趣
vixi	志喜
pilw	霹雷
vrih	专场
mdih	卖场
mdgo	卖过
wwve	违者
mddc	卖到
vryi	专一
vrvg	专政
vrvi	专治
ugyr	声源
ugxt	声学
xxgl	霞光
vijm	志坚
vrdm	专电
tchv	韬晦
vrhc	专号
ugvs	声中
vruu	专署
kvlw	亏累
xxpw	霞帔
viyi	志异
vrsi	专司
vllg	直愣愣
vruu	专书
wwxb	违心
vqug	真情实感
qjui	起居室
mdgr	卖官
wwxm	违宪
wxvl	违心之论
ugse	声色
ugmk	声名
kvfu	亏负
wwfj	违犯
vrtn	专挑
vrvi	专制
kvve	亏折
ugui	声势
wwao	违拗
vrqr	专权
mdxl	卖相
vrji	专机
wwjb	违禁
kkgf	块根
ugxi	声息
ugif	声称
uglv	声律
ugfu	声符
vrgc	专稿
ugwf	声闻
vrmw	专美
ihvj	场站
ugph	声旁
vrjm	专兼
mdhc	卖好
vrgs	专供
ugxl	声像
wwbd	韦伯
idti	超导体
vrrf	专任
mdjx	卖价
wylb	无以伦比
ugql	声强
dxyl	地心引力
ugna	声纳
wwji	违纪
ugvh	声张
ugwf	声纹
rfdu	韧度
vrig	专诚
viai	志哀
wwwu	违误
vrww	专为
ugxy	声讯
mdfh	卖方
iizi	赤子
veui	赭石
iilb	赤磷
iidj	赤胆
iidi	赤地
iilu	赤露
iidz	赤豆
iiic	赤潮
iiuv	赤水
iiri	赤日
uezv	赦罪
iihw	赤黑
iifg	赤峰
iiif	赤忱
iixb	赤心
wymw	无烟煤
iizi	赤字
amer	埃米尔
iijb	赤金
iire	赤热
iidc	赤道
hezi	赫兹
iipb	赤贫
vyhx	专业化
vyji	专业级
iiig	赤诚
goui	过世
golc	过劳
kezi	壳子
goxi	过隙
goyk	过硬
bogu	鹁鸪
soai	索爱
gozd	过载
soqq	索求
bobo	勃勃
gojk	过境
golv	过虑
gojl	过江
goth	过堂
goji	过激
goho	过活
gojb	过紧
kitr	考察团
uzjx	十字架
lsfc	露宿风餐
bofa	勃发
soni	索尼
goxb	过心
goho	过火
gouu	过数
gjjx	过家家
uzjy	十字军
sjvg	丧家之狗
sojp	索解
gomg	过猛
goji	过急
soqm	索欠
goqi	过气
gouz	过手
goui	过失
vhfq	煮鹤焚琴
fubh	封神榜
gojp	过街
kepd	壳牌
vkgr	真空管
goif	过称
jxwu	吉祥物
goyi	过意
godc	过道
gomf	过门
dana	戴安娜
soih	索偿
gorf	过人
vazu	专案组
yivi	懿旨
goxi	过细
goji	过继
sovg	索证
luhx	老实话
wuqi	无期
yrqi	远期
wugs	无功
wujy	无菌
tbzi	土包子
wuzu	无阻
wuji	无际
wuiu	无出
jyma	均码
yrgu	远古
yrzd	远在
wuig	无成
xtls	雪铁龙
wunc	无脑
wudi	无地
yrqu	远去
wuxu	无需
wugj	无干
wuqu	无趣
jyww	均未
yric	元朝
wugo	无过
betl	博尔塔拉
wuyb	无垠
bedy	博尔顿
wuyi	无一
wubu	无不
wuxx	无瑕
wuqi	无妻
wuyu	无虞
wuuh	无上
wuya	无涯
yrue	远涉
wuih	无常
wugl	无光
yryh	远洋
yryz	远游
wumk	无明
wuui	无时
wuti	无题
wuri	无日
wuww	无味
wuyi	无遗
wubp	无别
wuji	无羁
wuww	无畏
yrsi	远思
wuli	无力
wugv	无轨
wujp	无界
yrqu	元曲
yruj	远山
yrjm	远见
wuji	无几
wuyi	无异
wugk	无怪
wuju	无惧
wuyi	无翼
wuyi	无已
wuhv	无悔
wuyi	无以
wujb	无尽
wuye	无业
wuyj	无烟
wmho	无名火
yrxn	元宵
bczd	雹灾
yrke	远客
wubu	无补
wuta	无它
wuli	无礼
yrzu	远祖
wuse	无色
wujp	无解
wjdy	顽钝
yrxn	远销
wudo	无多
wucd	无猜
wuyr	无援
wuhz	无后
yrtz	远投
yryh	远扬
yrui	远逝
yrbo	远播
jyui	均势
yrpw	元配
wuji	无机
wuhe	无核
wuvi	无知
yrxk	远行
wuiu	无处
wuli	无利
wuwu	无物
wuwh	无往
wuts	无痛
wuqm	无前
wjvg	顽症
dtvj	地铁站
yryb	元音
wujm	无间
yrdr	远端
wuyi	无益
wuru	无如
wuta	无他
jyvi	均值
yrjm	元件
wuhe	无何
wuyu	无余
wuhx	无华
wuji	无级
vlji	志留纪
jybi	均比
wubi	无比
wudu	无度
wuxu	无序
wuvu	无主
jyyk	均应
jyww	均为
wuww	无为
wxui	无锡市
wuwh	无望
yrwh	远望
wuji	无迹
wudi	无底
wuyj	无言
xyqb	献殷勤
lhli	老皇历
yjif	运斤成风
ldsq	零打碎敲
undl	十年动乱
wsbv	无所不知
gzwu	垢污
dvxt	地质学
zutu	走势图
unnl	十年内乱
wsjd	无所忌惮
vvug	真抓实干
ebuz	二把手
lddh	老搭档
uqxt	声气相投
thdi	土皇帝
yhss	雨后送伞
tbuu	土拨鼠
eyhd	二氧化氮
jnhx	嘉年华
wdfu	无的放矢
unmj	十年磨剑
ulqi	霜期
iihz	赤橙黄绿青蓝紫
ulhx	霜花
hlyr	翰林院
ulbb	霜鬓
wkfy	无可非议
wjyj	无机盐
ulxt	霜雪
ultm	霜天
wgbh	顽梗不化
jlug	吉林省
ulif	霜晨
njxk	南极星
jjvl	击楫中流
wjpb	违禁品
njqr	南极圈
ulhd	霜害
etuu	二桃杀三士
ulbd	霜白
lkkl	老框框
ejgr	二极管
dvwu	动植物
ulhf	霜痕
whhx	无核化
lxui	老相识
bqvy	霸权主义
lcui	老式
kcqi	考期
vucd	煮菜
jnbm	教鞭
lcif	老臣
jnfj	教范
mwjy	霉菌
cdyi	才艺
lcyk	老营
lcqu	老区
xnzi	孝子
lcsy	老孙
jnvi	教职
jniu	教出
bwyr	博物院
jncj	教参
jnyj	教研
kcyj	考研
lcig	老成
wsyb	无私有弊
eizz	二重奏
lctd	老态
xnfu	孝服
cdmc	才貌
cdys	才用
lclm	老脸
gdji	赶得及
geta	圪塔
dzig	都城
jnui	教士
kcjb	考进
mcdp	耄耋
lcdc	老到
wwbu	无往不胜
jnvg	教正
lcsi	老死
mwsu	霉素
dzdu	都督
lcjq	老旧
lcyj	老眼
cdju	才具
wuuv	雾水
vuth	煮汤
lcgl	老光
lcjq	老酒
bwqw	博物洽闻
lcuk	老帅
lcjk	老景
mwww	霉味
lclu	老路
eiih	二重唱
ygqi	雨刮器
jnyr	教员
jnfu	教辅
lcsi	老四
cdsi	才思
cdli	才力
juqr	救生圈
jxqu	进行曲
yiww	运筹帷幄
kcfg	考风
lcji	老几
cdgj	才敢
vufj	直升飞机
jngd	教改
xnti	孝悌
xnxb	孝心
lccu	老粗
wvuu	未知数
lcmi	老米
tjsx	填街塞巷
juvj	进身之阶
yvjy	远征军
jibd	截长补短
wuse	雾色
kcju	考据
wuqi	雾气
lcgv	老鬼
vlqr	专利权
jnbh	教棒
lcxl	老相
kcia	考查
lcge	老歌
lclb	老林
zvfv	载舟覆舟
cdvi	才智
jutk	救生艇
dzde	都得
kcui	考释
jngr	教管
jnww	教委
kcqm	考前
lcla	老辣
lcjl	老将
elbf	二律背反
lcqb	老亲
xndc	孝道
lcdc	老道
jnyi	教益
jnmf	教门
lcyu	老妪
lcmw	老妹
lcsz	老叟
lcjq	老舅
dzlk	都灵
lcjq	老九
kcbi	考妣
cdui	才使
jnfu	教父
lcbj	老伴
jnhx	教化
xnjk	孝经
kcji	考级
lcbc	老鸨
kcji	考绩
lcyz	老幼
kcgh	考纲
vuvz	煮粥
jngw	教给
juyi	救生衣
lcvl	老庄
jnke	教课
dqhu	动迁户
mwbm	霉变
jnyi	教义
kcdk	考订
zilv	增长率
jkwf	教科文
fbui	封闭式
xkuf	幸甚
zijy	增产节约
zgya	增压
lqbw	老前辈
vdex	直道而行
wgdt	无关大体
shfu	丧服
zgyk	增盈
jkyu	境域
zgig	增城
xkxi	幸喜
xkwu	幸无
shfu	丧夫
zgkd	增开
zgvi	增至
shui	丧事
xkui	幸事
zgvi	增殖
shqi	丧妻
nbvv	南北战争
zzpd	走资派
uaui	霎时
jkyu	境遇
cpyr	裁判员
jpie	吉普车
edfz	二道贩子
uhqk	墒情
shjb	丧尽
shjx	丧家
jpsd	吉普赛
wtan	无头案
zgrs	增容
wghv	无关宏旨
zgyb	增印
zgsy	增损
pwvi	培植
pwgf	培根
qqky	求亲靠友
shuf	丧身
vumw	真善美
zgyi	增益
zgil	增创
fzxq	封资修
shjx	丧假
shfu	丧父
lbjm	零部件
shmu	丧母
cjww	才兼文武
shwh	丧亡
zgdk	增订
nbfh	南北方
xtcd	雪菜
xtxp	雪鞋
xtld	雪莱
iqiv	超群出众
xtyr	雪原
xtbc	雪豹
xtfu	雪肤
xtyu	雪域
vdvq	真刀真枪
xtkg	雪坑
xtqk	雪青
xtqq	雪球
xtuv	雪水
xtni	雪泥
niuh	霓裳
xtye	雪野
xtvs	雪中
xttr	雪团
xtie	雪车
xtdn	雪雕
xtfg	雪峰
xtcg	雪层
xthf	雪恨
xtyr	雪冤
xtgv	雪柜
xtpn	雪飘
xtss	雪松
xtli	雪梨
xtxu	雪絮
xtvh	雪仗
xtxm	雪线
xtfh	雪纺
xtyi	雪衣
xtmh	雪盲
xtye	雪夜
fjvy	封建主义
lkgs	零工
eruj	二人世界
vwmb	真伪莫辨
fuzi	夫子
lklk	零陵
dvqi	堆砌
dvcy	堆存
uvbd	十传百
dvig	堆成
wudt	无伤大体
whyx	无何有之乡
dvfw	堆肥
lkys	零用
dvzd	堆载
hodi	霍地
vrvu	真人真事
dvqi	堆起
wpwd	无偏无党
dvdo	堆垛
dvih	堆场
hoho	霍霍
tibj	替班
lkho	零活
lkui	零时
tdpb	替代品
qfdd	起伏跌宕
ervr	二人转
lyie	老爷车
ublh	十八罗汉
lkdj	零蛋
luye	零售业
lkuu	零数
jmve	救命之恩
irvw	趁人之危
luee	零售额
horj	霍然
hojb	霍金
lkdj	零担
gvvi	规制
fuqr	夫权
dvvj	堆栈
gume	干什么
lklr	零乱
dvxn	堆笑
zvuv	增值税
qrdr	求仁得仁
lktz	零头
xflj	雪佛兰
luuh	零售商
iprx	赤贫如洗
fuxu	夫婿
lkza	零杂
gvli	规例
lkww	零位
gvfw	规费
gvyt	规约
ludm	零售店
dvfh	堆放
jhly	进化论
dwsi	戴维斯
fjdl	封疆大吏
wbsj	韦编三绝
gxbc	干细胞
afdy	埃弗顿
lrcb	老弱残兵
jlyr	教练员
sxer	索绪尔
wyjb	违约金
ffyk	坟茔
uxtd	声讯台
dybu	墩布
wvdh	无遮大会
ffdi	坟地
rhtu	壤土
kgjk	坑井
yjyz	雨迹云踪
thba	塘坝
ffih	坟场
thgu	塘沽
bujv	博施济众
kgkz	坑口
hcqm	壕堑
dgmc	戴高帽
ffuj	坟山
xyuu	协议书
jyjx	教育家
dfgr	地方官
blnk	勃郎宁
thyu	塘鱼
dgle	戴高乐
wjmk	无记名
ffbc	坟包
dubc	都市报
uyqq	声应气求
ffqq	坟丘
wykd	无言可对
iwbf	超文本
kgmu	坑木
zdug	走读生
tiwu	填充物
dfuv	地方税
ldit	老调重谈
fftz	坟头
dfbk	地方病
fhjm	坊间
jybu	教育部
iuhx	城市化
njui	南京市
dfhx	地方话
xkqi	刑期
wuyi	武艺
bull	不甚了了
wuvi	武职
kdiu	开出
kdxi	开戏
kdtd	开台
xktd	邢台
xkma	形码
wuda	武大
wuww	武威
nspo	弄破
xkua	型砂
qxbw	青鞋布袜
bqer	不期而然
kdql	开腔
kdxs	开胸
kdto	开脱
wuui	武士
kdui	开示
kdjb	开进
kdgo	开过
nsdc	弄到
yktx	一匡天下
xkui	刑事
nswa	弄瓦
kdlp	开列
kdpk	开平
wuyi	武夷
kdbj	开班
kdbu	开步
kdlu	开颅
xkju	刑具
kdju	开具
nsic	弄潮
kdhe	开河
wuju	武举
kdlr	开滦
kdti	开题
wuih	武昌
kdyk	开映
xkyk	形影
kdjn	开叫
kdyr	开园
nshv	弄回
wuli	武力
xkfa	刑罚
xkhd	形骸
kduj	开山
kdgz	开购
kdvh	开账
kdpk	开屏
xklu	刑戮
wudr	武断
myth	麦芽糖
buvg	不世之功
kdho	开豁
wugr	武官
kdiu	开初
xkuf	形神
xkse	形色
kdyb	开印
kdgo	开锅
kdlo	开锣
xkgh	型钢
bqrr	不期然而然
kdjk	开镜
kdlm	开镰
wuji	武技
wuhz	武后
nsdn	弄掉
xkvi	形制
kdwa	开挖
nsgv	弄鬼
nsqr	弄权
kdbn	开标
kdbf	开本
xkxl	形相
wuuu	武术
nsdq	弄丢
wuug	武生
nsde	弄得
wubw	武备
kdui	开释
kdpk	开瓶
whly	五黄六月
xkyb	形音
xkbu	刑部
xkph	形旁
kddc	开道
kdjm	开建
blst	不落俗套
kdho	开伙
xkxl	形像
kdjx	开价
kdhx	开化
kdlm	开练
kdxm	开线
kdbm	开编
kdxi	开席
kdjl	开讲
wuku	武库
kdui	开市
kdfh	开房
xkji	形迹
kdfh	开方
tylo	屯落
tyju	屯聚
ylbd	一了百当
byby	不阴不阳
zybu	再也不
dyxn	顿消
wymk	王阳明
tyih	屯昌
tyll	屯粮
yyvd	一隅之地
tyjy	屯军
ykvj	一孔之见
vidm	政出多门
tybk	屯兵
wlnu	五陵年少
lyvi	两院制
tyva	屯扎
tyji	屯积
dyui	顿释
dyuz	顿首
tykf	屯垦
wsgz	王孙公子
wzdk	五子登科
dyvu	顿住
maya	玛雅
maua	玛莎
yddv	一对对
viai	至爱
viug	致胜
viyr	致远
vijk	至境
ydyi	一对一
bnbu	不能不
vili	至理
mali	玛丽
visi	致死
viuh	至上
dcgh	到港
vidm	致电
dcne	到哪
vihe	致贺
jgmi	静观默察
vili	致力
dcan	到岸
viqk	至情
viyi	致以
vifu	致富
vimi	致密
dcan	到案
vili	致礼
vido	至多
xmkh	下马看花
viji	至极
vuxu	至圣先师
vibk	致病
viyi	致意
viai	致癌
vijn	至交
viqm	致歉
vihc	至好
dchv	到会
viui	致使
dcrf	到任
virf	至人
bmxm	斑马线
viql	至强
viig	至诚
viai	致哀
dcqi	到齐
vigc	至高
vici	致词
dcfh	到访
bdui	表达式
cjjm	蚕茧
ytqu	亚太区
byqx	不厌其详
tmyb	天阴
mkas	麦克阿瑟
tmvi	天职
tmjl	天降
tmxm	天险
cjsh	蚕桑
zesj	再而三
yyye	一页页
tmig	天成
wgzt	王顾左右而言他
tmjk	天井
tyug	吞声
tmxk	天幸
tmrh	天壤
leby	来而不往非礼也
yezd	一而再
tymp	吞灭
tyvj	吞占
cjmm	蚕眠
tmyj	天眼
tmbo	天波
lmpd	两面派
tmyr	天渊
cjys	蚕蛹
tmui	天时
tmxp	天蝎
cjee	蚕蛾
tmya	天呀
tmzu	天足
biqi	不成器
tmqm	天堑
cjmw	蚕眉
cvdw	残砖断瓦
tmho	天火
tmuu	天数
cjns	蚕农
tmyu	天宇
ymvy	一面之缘
vsjn	珠三角
tmxl	天象
tyjb	吞金
tmgz	天狗
qmjk	球面镜
tmua	天煞
tmuz	天授
yfla	亚非拉
tmdk	天顶
tmji	天极
tmji	天机
tmdi	天敌
ydbj	一大半
tmwf	天问
tmdi	天帝
tmzi	天资
tmzy	天尊
tmqt	天阙
tmgs	天公
tmmk	天命
tmxm	天仙
tmfu	天父
tmti	天体
tmjx	天价
tyui	吞食
tmvu	天主
biwf	不成文法
tmbk	天禀
tmqi	天启
tmdi	天底
tmma	天麻
tmll	天良
tmfu	天府
qkgs	青工
jkwo	静卧
qkcc	青草
qkhl	青黄
qkcs	青葱
bjqy	不及其余
fuyc	敷药
qkhc	青蒿
qklm	青联
jkgr	静观
qkui	青石
bugj	不胜感激
qkhv	青灰
qkbh	青帮
cgxl	刺股悬梁
txdg	天悬地隔
bntu	表土
jkih	静场
bnke	表壳
qktm	青天
qkyu	青玉
bnuu	表叔
qkyj	青眼
qkzi	青紫
bfut	不服水土
qkpu	青浦
jkuv	静水
jkdm	静电
qkue	青蛇
qkgo	青果
llhc	靓号
qkui	青史
jksi	静思
lltu	靓图
futp	敷贴
qkuj	青山
qkvu	青贮
qkfg	青峰
qkcv	青翠
mrjk	麦乳精
qkyj	青烟
qkdg	青灯
bnzi	表字
qkvs	青冢
jkuz	静守
qkuj	青衫
jkan	静安
bnxl	表相
qkss	青松
qkjb	青筋
jkdd	静待
qkke	青稞
jkwu	静物
jkmu	静穆
bnbi	表笔
jkyh	静养
qkvl	青壮
byvg	不孕症
bnjl	表奖
jkli	静立
llvl	靓妆
jkru	静如
bnjq	表舅
bnzi	表姊
qkdd	青黛
bnvi	表侄
jkpi	静僻
qkua	青纱
wcfi	五彩纷呈
qklv	青绿
qksi	青丝
qkyi	青衣
bnji	表计
bnyu	表语
fuue	敷设
jkye	静夜
qqjk	球茎
qqjy	球菌
qqyi	球艺
cxqb	曹雪芹
yfzi	迂夫子
wjiu	玩出
wjyz	玩友
yesj	一二三
qqmm	球面
bjeu	不教而杀
qqdj	球胆
ttdx	天塌地陷
qqyy	球运
qqtj	球坛
qyvu	青云直上
ugjq	事过境迁
wjxt	玩雪
yddv	一堆堆
qqxk	球形
wjdc	玩到
wlwu	王老五
yqbh	一去不回
falh	珐琅
qqvo	球桌
yuci	于此
wjuh	玩赏
wjxk	玩兴
qqgo	球果
xplu	下坡路
yuqu	迂曲
kyjr	开云见日
qqfg	球风
yqvg	一墙之隔
bwnu	不违农时
vgjy	正规军
wfvi	王夫之
bkvl	不刊之论
wjle	玩乐
wjhu	玩忽
ywsq	一无所取
ywsn	一无所能
qqji	球技
yuvi	迂执
wjpn	玩票
qqgj	球杆
jjji	歼击机
lvkv	来者可追
qqyb	球瘾
qqvl	球状
yuko	迂阔
wjhc	玩好
ltfm	裂土分茅
yyhv	亚运会
wjbj	玩伴
bejx	不二价
yuhr	迂缓
zjyu	再教育
qqyi	球衣
qqui	球市
yiui	一式
yixl	一项
hrba	环靶
yiui	一世
dkms	顿开茅塞
yipi	一匹
xblt	下不了台
hrww	环卫
whsy	王孙
yiyu	一隅
yiiu	一出
yiyr	一院
yidv	一队
yiul	一双
yits	一通
yidv	一对
yidp	一碟
whma	王码
yiyz	一有
ccdm	璀璨夺目
yimm	一面
yiwj	一碗
yike	一克
yivh	一丈
yijn	一脚
hrxm	环县
yiql	一腔
yilm	一脸
yijp	一截
yivi	一支
yikr	一款
wuui	五十
yiji	一击
yiih	一场
yiug	一声
whbo	王勃
yiyr	一元
yiwu	一无
hrxk	环形
yttm	一天天
yibn	一表
wuyi	五一
bsbh	不死不活
yidd	一带
yivj	一盏
yill	一两
yizd	一再
yild	一来
txyj	天下一家
wudu	五毒
yibj	一斑
yidu	一睹
yivo	一桌
yiyj	一眼
yiju	一具
vvgh	珍珠港
yitj	一滩
wuhu	五湖
llmm	琳琅满目
yith	一堂
yilq	一溜
yipd	一派
yitj	一潭
yiug	一省
yidi	一滴
yiju	一举
yilq	一流
hryz	环游
ubug	事不师古
whmk	王明
yiui	一时
yiwj	一晚
wuxk	五星
yiww	一味
yiyr	一员
yiiv	一吹
yivi	一只
yitr	一团
wusi	五四
bxli	表现力
yily	一轮
yits	一同
yifu	一幅
yxjf	严刑峻法
bpzm	不平则鸣
yice	一册
wunw	五内
whdj	王丹
tbpa	天不怕
yixb	一心
whye	王业
hrwj	环烷
yipc	一炮
yili	一粒
yiuu	一数
yimi	一米
yizi	一字
whgr	王冠
yiuf	一审
wugr	五官
ypnk	亚平宁
hrif	环衬
wuse	五色
yijn	一角
txdb	天下独步
wuxy	五旬
yiju	一句
blgh	玻璃钢
wujb	五金
qbjm	琴键
wuyt	五岳
yinm	一年
yigr	一罐
yihv	一挥
hrbc	环抱
yida	一打
yiuz	一手
wuvi	五指
yids	一栋
yidk	一顶
yivi	一枝
yibw	一杯
yixl	一想
yidh	一档
yike	一棵
yilz	一楼
luih	理事长
yiji	一季
ubvi	殊不知
yiqm	一千
yiug	一生
yimn	一秒
lbde	来不得
yixl	一向
yylj	严于律己
yigr	一管
llww	来来往往
yike	一科
yibj	一半
yijm	一间
wuyb	五音
yibu	一部
yidr	一端
yibj	一瓣
yixb	一新
wuhc	五好
yiru	一如
yidd	一代
whgs	王公
yihv	一会
yili	一例
yijp	一介
yice	一侧
whhz	王侯
yiho	一伙
whye	王爷
yijm	一件
yiww	一位
yiff	一分
wugu	五谷
yijk	一经
yiji	一级
yilv	一缕
yivi	一纸
whww	王维
yisi	一丝
yits	一统
qbxm	琴弦
whis	王充
yiyu	一语
yiqi	一齐
yimu	一亩
yiui	一市
yike	一刻
yibm	一变
whzu	王族
xxqi	下期
xxui	下世
vgqu	政区
vgqp	正切
xxyc	下药
xxzi	下子
vgqu	正取
vgvi	正职
xxpb	下聘
xxyr	下院
xxjb	下劲
xxgu	下顾
vgda	正大
yjyz	焉有
xxbw	下辈
xxyc	下腰
xxfu	下腹
xxdi	下地
vgvi	正直
xxjk	下井
xxgo	下过
ycwg	与此无关
bubx	不上不下
xxxx	下下
vgli	正理
vgui	政事
vgui	正事
vgfu	正副
ymbu	一瞑不视
hupo	琥珀
xxbu	下步
vgdm	正点
vgyj	正眼
xxxp	下泄
vgfa	政法
vgfa	正法
vgdh	政党
xxpd	下派
xxye	下野
vgui	正是
vgti	正题
vgdm	正电
vggo	正果
vgvs	正中
xxyj	下咽
vgui	正史
xxtm	下田
xxli	下力
vggv	正轨
vgjp	政界
vggu	正骨
xxtp	下帖
vgjm	政见
xxvh	下账
vgdm	正殿
vgju	正剧
xxqk	下情
vgju	政局
vggd	政改
vgmh	正忙
hhlq	画虎类犬
vgye	正业
vguu	正数
xxkh	下炕
vgzi	正字
byvy	不虞之誉
vggs	正宫
xxgr	下官
vgui	正视
vgxs	正凶
boer	玻尔
vgmk	正名
vgfu	正负
xxfj	下饭
xxyu	下狱
xxqm	下欠
xxbd	下拜
xxcc	下操
xxbd	下摆
vgvi	政制
vgqi	正气
xxco	下挫
vgji	正极
xxdh	下档
xxji	下机
vgyc	政要
vgkd	正楷
xxuu	下述
vgdi	政敌
vgwu	正午
vgpd	正牌
yjde	焉得
xxvs	下种
xxgj	下疳
xxvl	下装
yujm	一瞬间
xxnd	下奶
xxdc	下刀
xxjx	下嫁
yuju	一瞬即逝
vjrx	整旧如新
vgvi	正值
vgqi	政企
xxce	下侧
vgxl	正像
vgti	政体
xxrf	下任
vgww	正位
xxrf	下人
vgjx	正价
vgji	政绩
vgji	政纪
vgxi	正席
vgwu	正误
vgfh	正房
vgbm	政变
xxfh	下放
xxvc	下诏
vgly	政论
bugj	不甘
buho	不惑
bugz	不苟
bugs	不恭
buii	不耻
hdyh	还阳
buiu	不出
bule	不了
lxyr	理学院
bufh	不防
buyy	不允
buru	不辱
bufu	不服
hdxu	还须
buuz	不受
buji	不及
buxu	不需
bugj	不干
buqi	不起
bujb	不进
bulu	不露
buvr	不专
buyr	不远
bucd	不才
buxk	不幸
viys	珠沉玉碎
bufu	不敷
buyi	不一
wdli	歪理
buyu	不与
buyj	不严
qtwu	青堂瓦舍
bumj	不瞒
buvi	不止
buvf	不贞
bumm	不眠
qgyj	青光眼
buii	不齿
buvi	不治
buxn	不肖
bufa	不法
hdqk	还清
wxbo	王小波
buxn	不消
bulz	不漏
yddi	一滴滴
buyu	不渝
buji	不济
buui	不时
buih	不畅
buxx	不暇
buyi	不易
bugo	不果
bugv	不归
buig	不逞
butk	不听
buvi	不只
buji	不羁
buio	不辍
buww	不畏
buhv	不回
buli	不力
bugv	不轨
buvz	不周
wduj	武当山
bujm	不见
hldd	画梁雕栋
hdqk	还情
buju	不惧
soxp	琐屑
bubi	不避
buyi	不已
vvju	政治局
buxp	不懈
buww	不惟
bugr	不惯
bujb	不尽
ylyj	一溜烟
yuvg	一水之隔
buyi	不宜
vvjx	政治家
tyvb	天渊之别
bunk	不宁
buxl	不祥
ytjm	玉堂金马
buxl	不象
bufu	不负
vvfj	政治犯
buvg	不争
buju	不拒
buvf	不振
buik	不揣
buju	不拘
buui	不失
buuj	不擅
buxq	不朽
buke	不可
bujb	不禁
buvi	不知
buui	不适
butz	不透
buxi	不息
buli	不利
wdth	歪躺
bufa	不乏
buyi	不移
bute	不特
vfww	政法委
bumb	不敏
buru	不入
buuj	不善
buqm	不前
budj	不单
budr	不端
