饥渴	jike
墚	lltm
鹨	lqxn
镂	lzjn
蝥	mcsi
芈	mill
庙	mngy
吗	makm
嘛	makm
妈	manm
玟	mbww
马	mava
貌	mcve
萌	mgco
锰	mgjm
芒	mhcw
蜜	mibi
米	midm
弥	migx
眯	miom
谜	miyz
铭	mkjk
酩	mkyk
名	mkxk
丏	mmav
免	mmdv
愐	mmxm
杪	mnmu
寞	mobd
蘑	mocu
漠	modd
没	mody
摩	mogu
磨	mogu
姆	munm
魅	mwgw
枚	mwmw
媒	mwnm
每	mwpm
玫	mwww
霉	mwym
忙	mhxw
秒	mnhu
荬	mdcd
艨	mgvu
麋	migm
幔	mjjy
缦	mjsy
沔	mmdm
眄	mmom
眠	mmom
缈	mnsu
耱	molu
嬷	monm
苜	muco
寐	mwbw
淼	mnuu
没	mwdy
袂	mwpg
眉	mwvo
鳗	mjay
钠	najn
哪	nake
拿	naru
那	nave
恁	nbrx
恼	ncxk
霓	niye
南	njug
蝻	njig
娘	nlnl
撵	nmfi
黏	nmhk
农	nsdn
哪	nwke
妞	nqni
佴	ndre
咛	nkkd
狃	nqqi
怒	nunx
呕	oukx
帕	pajb
配	pwyj
爬	pavb
泡	pcds
炮	pchs
袍	pcps
拍	pdfb
彭	pgup
庞	phgl
螃	phif
啤	piku
脾	piou
僻	piru
屁	piub
枇	pimb
皮	pivy
霹	piyu
盘	pjvm
瓶	pkbw
萍	pkcp
扁	pmhc
票	pnxx
蒲	pucf
莆	pucf
瀑	pudu
曝	puou
淠	pidl
嫔	pbnb
匏	pcds
咆	pcks
俳	pdrf
郫	pipe
谝	pmyc
钋	pojb
粕	pomb
洴	pkdk
俜	pkrv
龟	qqdv
将	qldc
擎	qkcu
橇	qnmm
佺	qrrw
勍	qkwl
嵚	qber
𨱇	qqjq
瑔	qrwu
鼩	qujk
区	qukx
祛	qups
亲	qblm
侵	qbry
柒	qidm
漆	qidu
岂	qiej
启	qihk
棋	qimb
骑	qimk
祈	qipj
砌	qiud
气	qipv
欺	qiqr
起	qitj
轻	qkig
亲	qklm
羌	qlyv
浅	qmdj
黔	qmhv
铅	qmjk
窍	qnbv
挈	qpfu
秋	qqhh
蚯	qqiq
仇	qqrj
泉	qrbu
拳	qrju
劝	qryl
瘸	qtbr
癯	qubf
渠	qudm
驱	qumx
去	quts
屈	quui
勤	qbnl
矜	qbsv
钦	qbjr
蕲	qicj
芑	qicj
蛴	qiil
耆	qilo
憩	qiqx
蹊	qizd
黥	qkhx
磬	qkuu
镪	qlji
骞	qmbm
慊	qmxn
巯	qqvv
糗	qqmq
蛆	quiq
璩	quwu
诎	quyi
纫	rfsr
刃	rfdd
轫	rfir
任	rfrr
认	rfyr
壤	rhty
让	rhyu
染	rjdm
容	rsbk
铷	rujk
糅	rzmm
辱	ruic
溞	scdi
四	sike
塞	sdbt
啬	seuk
嘶	sikj
司	sivk
竦	sslu
讼	ssys
粟	suxm
酥	suyh
随	svez
穗	svhx
碎	svuu
遂	svzu
瑟	sewb
厮	siij
锶	sijx
耜	silk
淞	ssds
涑	sudu
觫	sudu
燧	svhz
飕	szjy
沓	tauo
太	tddd
㛚	tsny
碳	tjuh
涛	tcdc
讨	tcyc
跆	tdzk
趟	thtk
贪	tjrr
坦	tjta
摊	tjff
谭	tjyu
厅	tkid
听	tkkj
汀	tkdd
瑱	tmwb
恬	tmxk
腆	tmob
眺	tnod
拓	tofu
铊	tojb
驼	tomb
椭	tomo
贴	tpkk
彤	tsdp
铜	tsjk
同	tskk
桐	tsmk
瞳	tsol
统	tsse
图	tukd
土	tuua
途	tuzh
颓	tvhr
蜕	tvie
头	tzdd
涂	tudh
谈	tjyh
溻	tadx
铊	tajb
榻	tamx
遢	tazx
掏	tcff
逃	tczd
羰	thyh
锑	tijp
嚏	tikr
悌	tixp
醍	tiyr
郯	tjhe
覃	tjxu
澹	tjdk
町	tktd
霆	tkyz
酮	tsyk
恸	tsxl
钍	tujt
铽	tejx
龆	tnvk
酴	tuyh
𬳿	tumh
笙	ugvu
埏	ujtz
湜	uidr
隃	uued
椹	ufmv
闪	ujmr
衫	ujpp
沙	uadu
杉	uamp
稍	ucho
少	ucxp
筛	udvj
舌	ueqk
深	ufdm
甚	ufqv
什	ufru
勺	ucbd
鞘	ucgo
伸	ufru
绅	ufsu
慎	ufxb
胂	ufou
牲	ugnu
胜	ugou
圣	ugyt
尚	uhxk
裳	uhxy
事	uial
实	uibd
湿	uidy
拾	uifk
驶	uimu
使	uirl
蚀	uiui
市	uiwj
式	uiyg
扇	ujhx
善	ujyk
钐	ujjp
蟀	ukiu
帅	uklj
薯	uuco
爽	uldx
烁	uohl
澍	uudc
输	uuid
竖	uull
数	uumw
暑	uuoo
属	uuuy
书	uuvd
述	uuzu
谁	uvyf
熟	uzwh
痧	uabu
艄	ucvo
厍	ueii
砷	ufuu
谂	ufyx
蜃	ufii
申	ufll
渑	ugdd
殇	uhdp
熵	uhhk
墒	uhtk
蓍	uico
轼	uiig
舐	uiqu
什	uiru
螫	uiti
虱	uivi
单	ujbl
潸	ujdo
舢	ujve
山	ujlk
蒴	uoco
束	uuan
黍	uuhu
姝	uunv
倏	uurq
水	uvln
绶	uzsy
哂	ufkx
嵊	ugen
珅	ufwu
殳	uujy
扎	vafv
楂	vama
浙	vedj
蜇	vefi
砧	vfuk
祗	vipd
纸	visu
奘	vlvd
窄	vdbv
渣	vada
炸	vahv
轧	vaiv
榨	vamv
召	vcdk
找	vcfg
肇	vchy
朝	vcuo
折	vefj
章	vhlu
疹	vfbp
贞	vflr
蟑	vhiu
镇	vfjb
拯	vgfa
狰	vgql
整	vguv
筝	vgvl
障	vheu
樟	vhmu
掌	vhxu
旨	vibo
芝	vicv
治	vidk
汁	vidu
秩	vihu
帜	vijb
制	vipd
知	viuk
智	viuo
识	viyb
沾	vjdk
盏	vjjm
占	vjlk
站	vjlk
粘	vjmk
浊	vodi
灼	vohu
卓	volu
钟	vsjv
中	vsll
踵	vszv
注	vudv
主	vudw
蛛	vuiv
株	vumv
柱	vumv
住	vurv
筑	vuvf
逐	vuzu
煮	vulh
椎	vvmf
衠	vyii
谆	vyyz
㤘	vzxe
州	vzdl
咒	vzkj
周	vzkk
执	vifw
棹	vcmu
笊	vcvv
诏	vcyk
蓁	vfch
枕	vfmv
谵	vjyk
壮	vldu
溱	vfdh
瘴	vhbu
璋	vhwu
咫	viib
枳	vimb
踯	vize
蘸	vjch
湛	vjdv
𫗴	vjua
禚	voph
酌	voyu
颛	vrer
篆	vrvu
冢	vsbn
渚	vudo
诌	vzye
忮	vixy
隹	vvrf
畖	watg
丸	wjpd
痿	wwbn
为	wwdd
顽	wjer
袜	wapm
外	wdxb
瘟	wfbm
稳	wfhx
问	wfmk
文	wfwx
望	whww
完	wjbe
晚	wjov
芜	wucw
污	wudk
巫	wugr
梧	wumk
物	wunw
伍	wurw
悟	wuxk
诬	wuyr
误	wuyt
未	wwan
薇	wwcw
危	wwdv
韪	wwow
威	wwxn
巍	wweg
委	wwhn
味	wwkw
猥	wwqn
伟	wwrw
畏	wwtn
胃	wwto
凹	wala
碗	wjuv
惋	wjxv
婺	wusn
圬	wutk
迕	wuzw
葳	wwcn
闱	wwmw
娓	wwnm
旬	xybo
炘	xbhj
烜	xrha
洗	xide
舷	xmvy
䜣	xbyj
冔	xuoy
叚	xxvy
浠	xidj
𫍽	xryy
巷	xlcs
羞	xqyi
馨	xbuo
心	xbdd
锌	xbju
辛	xblu
衅	xbxb
席	xigj
稀	xihj
熄	xihx
吸	xikj
媳	xinx
膝	xiou
夕	xipd
系	xipx
翕	xirx
喜	xiuk
杏	xkmk
星	xkou
猩	xkqu
惺	xkxu
性	xkxu
醒	xkyu
项	xlgr
香	xlho
详	xlyy
衔	xmii
线	xmsj
消	xndo
硝	xnuo
箫	xnvs
效	xnww
蟹	xpdi
泄	xpdu
械	xpmc
斜	xpru
些	xpve
谐	xpyb
谢	xpyc
宣	xrba
绁	xpsu
锈	xqjn
轩	xrig
玄	xrwy
喧	xrka
眩	xroy
选	xrze
匈	xsbk
雄	xsuf
凶	xsxk
血	xtpm
削	xtxd
雪	xtye
徐	xuih
婿	xuno
须	xupr
墟	xuty
恤	xuxx
狭	xxqj
霞	xxyy
殉	xydo
循	xyio
驯	xymi
迅	xyzu
咸	xmxk
畜	xuwt
晞	xioj
嬉	xink
奚	xipd
硒	xiux
荇	xkci
相	xlmo
飨	xlxl
庠	xlgy
藓	xmcy
仙	xmre
冼	xmde
岘	xmee
蚬	xmie
娴	xmnm
跹	xmzz
萧	xncs
魈	xngo
啸	xnks
骁	xnmw
枭	xnpm
绡	xnso
馐	xqui
噱	xtku
谑	xtya
嘘	xuky
罅	xxfh
黠	xxhk
硖	xxuj
醺	xyyh
砉	xufu
儇	xrry
讻	xsyk
虚	xuhy
𬊈	xyhc
孝	xnlz
珢	ybwg
银	ybjg
彧	yuad
颙	ysyr
异	yisc
蚰	yziy
嬴	ykwf
橼	yrmu
瀹	ytdc
尢	yzuv
虞	yuht
馧	yyhm
韵	yyld
禹	yupd
夷	yian
爚	ythc
衙	yaii
呀	yaky
讶	yayy
引	ybgl
椅	yimk
荫	ybco
蚓	ybil
因	ybkd
吟	ybkv
摇	ycff
约	ycsu
要	ycxn
痒	yhby
洋	yhdy
漾	yhdy
秧	yhhy
杨	yhmp
氧	yhqy
益	yibm
溢	yidm
抑	yife
移	yihx
役	yiiy
毅	yily
伊	yiry
依	yiry
壹	yiua
已	yivv
亦	yiwd
言	yjwk
翼	yixb
怡	yixk
议	yiyy
演	yjdb
淹	yjdd
艳	yjfb
烟	yjhd
衍	yjii
颜	yjir
檐	yjmk
燕	yjnh
易	yiow
严	yjyp
酽	yjyy
延	yjzv
颖	ykbr
俨	yjry
英	ykcy
莹	ykcy
婴	ykkn
鹦	ykkn
樱	ykmn
硬	ykug
赢	ykwf
冤	yrbd
院	yree
原	yrix
员	yrkr
缘	yrsu
鸳	yrxn
远	yrze
涌	ysdy
永	ysdn
庸	ysgl
咏	ysky
佣	ysry
曰	ytka
约	ytsu
说	ytye
鱼	yuda
宇	yuby
芋	yucy
浴	yudk
庾	yugy
鬻	yugl
屿	yuey
狱	yuqq
预	yusr
郁	yuue
玉	yuwd
羽	yuxx
语	yuyk
遇	yuzy
匀	yybd
援	yrfy
允	yyse
酝	yyys
有	yzuo
由	yzla
屹	yieq
咦	yiky
贻	yikk
以	yivr
狺	ybqk
龈	ybvg
夤	ybxb
霪	ybyr
杳	ycmo
瑶	ycwf
烨	yehu
邺	yeye
徉	yhiy
肄	yiby
漪	yidk
镒	yijm
翊	yilx
猗	yiqk
圯	yits
彝	yivc
奕	yiwd
鼹	yjjn
铅	yjjk
腌	yjod
研	yjuk
鄢	yjve
筵	yjvz
琰	yjwh
恹	yjxq
膺	ykgo
楹	ykmm
盈	yknm
沅	yrde
箢	yrvv
瑗	yrwy
蛹	ysiy
雍	yswf
慵	ysxl
钺	ytjv
萸	yucy
揄	yufd
圄	yukk
禺	yuld
觎	yure
鹬	yusn
聿	yuvl
谀	yuyy
殒	yydr
陨	yyer
纭	yyss
熨	yyuh
筠	yyvd
韫	yywm
鱿	yzay
蝣	yziz
铀	yzjy
飏	yhjp
祐	yzpk
验	yjma
燠	yuhd
柚	yzmy
杂	zajm
吱	ziky
鄑	ziye
粢	zidm
澡	zcdm
载	zdui
字	zibz
资	zidr
咱	zjkz
昨	zoov
左	zoug
钻	zrjk
总	zsbx
宗	zsbx
棕	zsmx
纵	zssr
族	zufu
奏	zzft
撙	zyfc
咂	zakj
凿	zcyk
啧	zekr
笮	zevv
缯	zgso
渍	zidr
锱	zijt
梓	zimu
镞	zuju
卒	zuwu
诹	zzyy
偬	zsrx
阼	zoev
邹	zzde
按键	aj
背景	bj
参加	cj
从前	cq
达到	dd
电脑	dn
打算	ds
等着	dv
分别	fb
分钟	fv
反悔	fh
附件	fj
发送	fs
否则	fz
刚刚	gg
感觉	gj
公司	gs
更新	gx
规则	gz
跟着	gv
回复	hf
程度	id
尝尝	ii
基本	jb
绝对	jd
尽管	jg
渐渐	jj
即可	jk
举例	jl
极其	jq
假如	jr
即使	ju
极致	jv
极为	jw
困难	kn
两边	lb
链接	lj
慢慢	mm
面前	mq
每天	mt
情况	qk
前面	qm
恰恰	qq
歧视	qu
确认	qr
仍然	rr
任务	rw
速度	sd
虽然	sr
搜索	ss
随着	sv
推导	td
推广	tg
推荐	tj
淘汰	tt
投资	tz
束缚	uf
伤害	uh
世纪	uj
试试	uu
食物	uw
这次	vc
直到	vd
征服	vf
只会	vh
支持	vi
整句	vj
追求	vq
只是	vu
真正	vv
这些	vx
主意	vy
正在	vz
周围	vw
味道	wd
完美	wm
未知	wv
微信	wx
修改	xg
下面	xm
小时	xu
修正	xv
学习	xx
选择	xz
一边	yb
与其	yq
意志	yv
悠闲	yx
总算	zs
座位	zw
总共	zg
最终	zv
北戴河	bdh
帮倒忙	bdm
百分之	bfv
白胡椒	bhj
半成品	bip
笔记本	bjb
不客气	bkq
闭门羹	bmg
保密性	bmx
不满意	bmy
不舒服	buf
大多数	ddu
打火机	dhj
导火线	dhx
打交道	djd
都江堰	djy
电视剧	duj
单引号	dyh
放射性	fux
服务器	fwq
关节炎	gjy
感兴趣	gxq
刽子手	gzu
回归线	hgx
含金量	hjl
花架子	hjz
出发点	ifd
基本功	jbg
几百年	jbn
记不住	jbv
警察局	jij
教科书	jku
加拿大	jnd
吉尼斯	jns
柬埔寨	jpv
警惕性	jtx
记事本	jub
局限性	jxx
局域网	jyw
跨时代	kud
轮不到	lbd
里程碑	lib
龙卷风	ljf
两句话	ljh
老年人	lnr
两只手	lvu
老顽童	lwt
六月份	lyf
懒洋洋	lyy
巧克力	qkl
情况下	qkx
千里眼	qly
敲门砖	qmv
起跑线	qpx
情人节	qrj
说服力	ufl
石家庄	ujv
势利眼	uly
摄氏度	uud
省政府	uvf
受制于	uvy
支付宝	vfb
正方形	vfx
主持人	vir
直性子	vxz
卫生间	wuj
无外乎	wwh
想不到	xbd
行不行	xbx
想了想	xlx
叙利亚	xly
下马威	xmw
小蛮腰	xmy
先天性	xtx
洗手间	xuj
学术性	xux
西游记	xyj
小意思	xys
又不是	ybu
一次性	ycx
晕乎乎	yhh
一句话	yjh
郁金香	yjx
艺术性	yux
以致于	yvy
座右铭	zym
呼之欲出	hvy
姗姗来迟	uul
爱恨情仇	ahqi
暗器	anqi
芭蕉	bajn
不谙世事	bauu
本本分分	bbff
变本加厉	bbjl
边边角角	bbjj
斑驳陆离	bbll
秉笔直书	bbvu
保镖	bcbn
报到	bcdc
包袱	bcfu
包抄	bcic
暴涨	bcvh
悲从中来	bcvl
保卫	bcww
不辞辛劳	bcxl
包邮	bcyz
不打不相识	bdbu
摆放	bdfh
不到黄河心不死	bdhs
不当家不知柴米贵	bdjg
拜见	bdjm
博大精深	bdju
不得已而为之	bdyv
膀大腰圆	bdyy
捕风捉影	bfvy
毕恭毕敬	bgbj
不吃不喝	bibh
比肩	bijm
鄙夷	biyi
鼻炎	biyj
避险	bixm
不紧不慢	bjbm
八九不离十	bjbu
半岛	bjdc
别具匠心	bjjx
病急乱投医	bjly
不解之谜	bjvm
不绝于耳	bjye
不拘一格	bjyg
不经意间	bjyj
并肩作战	bjzv
闭口不言	bkby
不可避免	bkbm
不可多得	bkdd
不可分割	bkfg
不可方物	bkfw
不可救药	bkjy
不可抗拒	bkkj
不可饶恕	bkru
不可替代	bktd
不可调和	bkth
不可收拾	bkuu
不堪重负	bkvf
不可战胜	bkvu
不可挽回	bkwh
不可限量	bkxl
不可一世	bkyu
不可言喻	bkyy
变来变去	blbq
暴露无遗	blwy
贬低	bmdi
本末倒置	bmdv
边距	bmju
八面玲珑	bmll
不明所以	bmsy
贬值	bmvi
拔苗助长	bmvv
便携	bmxp
编译	bmyi
闭门造车	bmzi
百年大计	bndj
拨付	bofu
搏击	boji
剥离	boli
不求上进	bquj
笨手笨脚	bubj
板上钉钉	budd
部队	budv
不施粉黛	bufd
补救	bujq
不胜枚举	bumj
跋山涉水	buuu
补习	buxi
不是冤家不聚头	buyt
捕鱼	buyu
不畏艰难	bwjn
不畏艰险	bwjx
贝壳	bwke
百无聊赖	bwll
背弃	bwqi
不外如是	bwru
百无一用	bwyy
报喜不报忧	bxby
百依百顺	bybu
比翼齐飞	byqf
刺客	cike
赐予	ciyu
挫伤	couh
错失	coui
摧残	cvcj
大涨	davh
独霸一方	dbyf
捣蛋	dcdj
打草惊蛇	dcju
多此一举	dcyj
单打独斗	dddd
得道多助	dddv
嘀嘀咕咕	ddgg
多多少少	dduu
大道至简	ddvj
独到之处	ddvi
跌跌撞撞	ddvv
胆大妄为	ddww
大跌眼镜	ddyj
多多益善	ddyu
达官贵人	dggr
蹬踏	dgta
电光石火	dguh
担纲	djgh
大惑不解	dhbj
调虎离山	dhlu
地步	dibu
滴答	dida
大吃大喝	didh
大吵大闹	didn
低端	didr
多愁善感	diug
独出心裁	dixc
大吃一惊	diyj
地狱	diyu
淡泊	djbo
大吉大利	djdl
耽搁	djge
打家劫舍	djju
独具匠心	djjx
点播	dmbo
独门独户	dmdh
垫付	dmfu
冬暖夏凉	dnxl
夺命	domk
颠三倒四	dsds
东京	dsjk
第三季度	dsjd
董事	dsui
动手动脚	dudj
独具	duju
独善其身	duqu
打蛇随棍上	dusu
滴水之恩	duve
东施效颦	duxp
洞烛其奸	dvqj
地主之谊	dvvy
斗转星移	dvxy
丢卒保车	dzbj
斗笠	dzli
恩恩怨怨	eeyy
发愣	falg
愤愤不平	ffbp
反反复复	ffff
分分合合	ffhh
浮浮沉沉	ffii
方方面面	ffmm
泛泛之交	ffvj
氛围	ffww
沸沸扬扬	ffyy
风靡	fgmi
奉公守法	fguf
凤冠霞帔	fgxp
反戈一击	fgyj
防盗	fhdc
放火	fhho
防患	fhhr
纺织	fhvi
防患于未然	fhyr
分久必合	fjbh
反衬	fjif
翻越	fjyt
飞来飞去	flfq
浮标	fubn
肥水不流外人田	fubt
分身乏术	fufu
俯首称臣	fuii
妇女	funv
付钱	fuqm
富饶	furc
粉饰太平	futp
放手一搏	fuyb
赋予	fuyu
飞沙走石	fuzu
防微杜渐	fwdj
福无双至	fwuv
附庸风雅	fyfy
光彩夺目	gcdm
光打雷不下雨	gdly
古道热肠	gdri
功到自然成	gdzi
狗改不了吃屎	ggbu
公共场合	ggih
规规矩矩	ggjj
功高震主	ggvv
各回各家	ghgj
鬼话连篇	ghlp
高居榜首	gjbu
国际惯例	gjgl
孤家寡人	gjgr
故技重施	gjiu
过街老鼠	gjlu
敢于	gjyu
高楼大厦	gldu
咕噜咕噜	glgl
告老还乡	glhx
寡廉鲜耻	glxi
功名利禄	gmll
果实	goui
过往	gowh
宫殿	gsdm
公愤	gsff
工夫	gsfu
攻克	gske
功力	gsli
鼓瑟齐鸣	gsqm
公投	gstz
共识	gsui
公证	gsvg
公益	gsyi
古董	guds
骨骼	guge
顾忌	guji
孤立	guli
果实累累	gull
高山流水	gulu
鬼使神差	guui
鼓掌	guvh
更胜一筹	guyi
孤身一人	guyr
归集	gvji
各执己见	gvjj
闺蜜	gvmi
孤掌难鸣	gvnm
狗仗人势	gvru
皈依	gvyi
柜员	gvyr
高瞻远瞩	gvyv
改弦更张	gxgv
狗眼看人低	gykd
各自为战	gzwv
何必当初	hbdi
毫不留情	hblq
恨不相逢未嫁时	hbxu
耗电	hcdm
皇帝不急太监急	hdbj
患得患失	hdhu
华灯初上	hdiu
寒冬腊月	hdly
海面	hdmm
河东狮吼	hduh
荒诞无稽	hdwj
轰动一时	hdyu
华而不实	hebu
合资	hezi
含含糊糊	hhhh
悔恨交加	hhjj
花花绿绿	hhll
鸿鹄之志	hhvv
环环相扣	hhxk
花好月圆	hhyy
合久必分	hjbf
撼动	hjds
换句话说	hjhu
行家里手	hjlu
后继有人	hjyr
横空出世	hkiu
画龙点睛	hldj
晃来晃去	hlhq
花里胡哨	hlhu
活灵活现	hlhx
汗流浃背	hljb
鹤立鸡群	hljq
汗流满面	hlmm
花落谁家	hluj
晃眼	hlyj
恍如隔世	hrgu
浑然不觉	hrbj
缓解	hrjp
恍若未闻	hrww
换洗	hrxi
浩如烟海	hryh
好事不出门	hubm
好事多磨	hudm
好说歹说	hudu
胡椒	hujn
后生可畏	hukw
欢声雷动	huld
护理	huli
华山论剑	hulj
呼噜	hulu
混世魔王	humw
护士	huui
含沙射影	huuy
浑身解数	huxu
会者不难	hvbn
货真价实	hvju
哗众取宠	hvqi
晦涩	hvse
会晤	hvwu
回信	hvxb
话中有话	hvyh
毫无用处	hwyi
毫无怨言	hwyy
横行霸道	hxbd
滑动	hxds
祸兮福所倚	hxfy
活学活用	hxhy
混淆是非	hxuf
滑翔	hxxl
忽隐忽现	hyhx
慧眼如炬	hyrj
婚俗	hysu
慧眼识珠	hyuv
红颜知己	hyvj
好逸恶劳	hywl
和颜悦色	hyys
插手	iauz
诧异	iayi
潮湿	icui
船到江心补漏迟	idji
差遣	idqm
扯上	ieuh
常委	ihww
春风化雨	ifhy
超凡入圣	ifru
超凡脱俗	ifts
冲锋陷阵	ifxv
城墙	igql
春寒料峭	ihlq
承建	igjm
出乖露丑	igli
橙汁	igvi
承销	igxn
冲冠一怒为红颜	igyy
晨昏颠倒	ihdd
长话短说	ihdu
春华秋实	ihqu
春花秋月	ihqy
常识	ihui
尝鲜	ihxm
彻彻底底	iidd
垂垂老矣	iily
蟾蜍	ijiu
臭名远扬	imyy
臭棋篓子	iqlz
船舶	irbo
怅然若失	irru
喘气	irqi
出人意表	iryb
重逢	isfg
冲剂	isji
崇敬	isjk
处事不惊	iubj
长盛不衰	iubu
出动	iuds
成双成对	iuid
处罚	iufa
出糗	iuqq
畜生	iuug
除夕	iuxi
重拾信心	iuxx
乘胜追击	iuvj
察言观色	iygs
丑化	izhx
姹紫嫣红	izyh
见不得人	jbdr
禁锢	jbgu
久别重逢	jbif
紧紧	jbjb
机不可失	jbku
坚壁清野	jbqy
间不容发	jbrf
金榜题名	jbtm
举步维艰	jbwj
进修	jbxq
敬而远之	jeyv
家常便饭	jibf
家丑不可外扬	jiby
嫉妒	jidu
绝处逢生	jifu
籍贯	jigr
忌讳	jihv
鸡精	jijk
饥肠辘辘	jill
纪念	jinm
鸡肉	jirz
缉私	jisi
精诚所至	jisv
精诚团结	jitj
既成事实	jiuu
机智	jivi
挤占	jivj
畸形	jixk
机箱	jixl
积压	jiya
觊觎	jiyu
加减乘除	jjii
句句属实	jjuu
惊艳	jkyj
警官	jkgr
荆棘	jkji
经理	jkli
几可乱真	jklv
静谧	jkmi
景气	jkqi
静止	jkvi
艰苦卓绝	jkvj
敬重	jkvs
警卫	jkww
景象	jkxl
竞选	jkxr
晶莹	jkyk
剪裁	jmcd
剪刀	jmdc
鉴定	jmdk
坚固	jmgu
监察	jmia
见解	jmjp
间距	jmju
假模假样	jmjy
贱人	jmrf
肩上	jmuh
监视	jmui
近墨者黑	jmvh
艰辛	jmxb
奸细	jmxi
监狱	jmyu
教诲	jnhv
较劲	jnjb
搅和	jnho
焦急	jnji
矫健	jnjm
交界	jnjp
矫情	jnqk
教室	jnui
教主	jnvu
倦鸟知还	jnvh
叫嚣	jnxn
解毒	jpdu
解除	jpiu
解禁	jpjb
洁净	jpjk
节俭	jpjm
阶梯	jpti
结实	jpui
戒指	jpvi
旧瓶装新酒	jpvj
结息	jpxi
举棋不定	jqbd
九点	jqdm
救救	jqjq
驾轻就熟	jqju
久远	jqyr
迥然不同	jrbt
尽人皆知	jrjv
尽人事听天命	jrum
见势不妙	jubm
井水不犯河水	jubu
精神抖擞	juds
旧事重提	juit
尽善尽美	jujm
举手投足	jutz
江山社稷	juuj
矩形	juxk
计上心来	juxl
假手于人	juyr
据为己有	jwjy
坚信不疑	jxby
即兴发挥	jxfh
嫁祸	jxho
居心何在	jxhz
尽心尽力	jxjl
加剧	jxju
渐行渐远	jxjy
假惺惺	jxxk
假象	jxxl
甲乙	jxyi
节衣缩食	jysu
郡主	jyvu
军衔	jyxm
锦衣夜行	jyyx
均由	jyyz
苦不堪言	kbky
开刀	kddc
苦大仇深	kdiu
开战	kdvj
砍价	kjjx
磕磕巴巴	kkbb
坑坑洼洼	kkww
颗粒无收	klwu
口诛笔伐	kvbf
开枝散叶	kvsy
可以燎原	kyly
枯燥乏味	kzfw
聊表寸心	lbcx
连本带利	lbdl
拉帮结派	lbjp
两败俱伤	lbju
老花	lchx
郎才女貌	lcnm
落地生根	ldug
立竿见影	lgjy
利国利民	lglm
锣鼓喧天	lgxt
论功行赏	lgxu
利害得失	lhdu
乐呵乐呵	lhlh
灵魂出窍	lhiq
理睬	licd
历朝历代	lild
立秋	liqq
冷嘲热讽	lirf
荔枝	livi
例行	lixk
离家出走	ljiz
浪迹江湖	ljjh
羚羊	lkyh
恋恋不舍	llbu
唠唠叨叨	lldd
亮点	lldm
来来回回	llhh
绫罗绸缎	llid
泪流满面	llmm
来龙去脉	llqm
冷冷清清	llqq
啰啰嗦嗦	llss
沦落至此	llvc
利令智昏	llvh
寥寥无几	llwj
碌碌无为	llww
陆陆续续	llxx
流落异乡	llyx
连蒙带猜	lmdc
两面三刀	lmsd
螺蛳	losi
琉璃	lqli
两全其美	lqqm
离群索居	lqsj
流逝	lqui
利人不利己	lrbj
令人齿冷	lril
令人胆寒	lrdh
令人感动	lrgd
理所当然	lsdr
牢骚满腹	lsmf
掠过	ltgo
路途遥远	ltyy
劳师动众	ludv
乐善好施	luhu
绿水青山	luqu
料事如神	luru
卤汁	luvi
良师益友	luyy
列支敦士登	lvdd
力争上游	lvuy
略知一二	lvye
累积	lwji
立于不败之地	lybd
络绎不绝	lybj
龙吟虎啸	lyhx
伶牙俐齿	lyli
洛阳纸贵	lyvg
燎原之势	lyvu
临渊羡鱼	lyxy
没安好心	mahx
面不改色	mbgs
名不正言不顺	mbvu
默不作声	mbzu
茅草	mccc
满腹经纶	mfjl
每分每秒	mfmm
马革裹尸	mggu
卖国求荣	mgqr
目光如炬	mgrj
蒙受	mguz
梦乡	mgxl
卖官鬻爵	mgyj
盟友	mgyz
糜烂	milj
猫哭老鼠	mklu
门可罗雀	mklq
眉开眼笑	mkyx
名落孙山	mlsu
懵懵懂懂	mmdd
满面春风	mmif
忙忙碌碌	mmll
莫名其妙	mmqm
勉勉强强	mmqq
茫茫人海	mmrh
名门世家	mmuj
冒冒失失	mmuu
明眸善睐	mmul
茉莉	moli
弥天大谎	mtdh
募集	muji
幕僚	muln
每时每刻	mumk
牧师	muui
没事找事	muvu
莫衷一是	mvyu
美化	mwhx
面无人色	mwrs
美貌	mwmc
梅雨	mwyu
名言警句	myjj
鸟尽弓藏	njgc
南海	njhd
难堪	njkj
扭扭捏捏	nnnn
能省则省	nuzu
能征惯战	nvgv
能者为师	nvwu
爬升	paug
屁大点事	pddu
屁颠屁颠	pdpd
普度众生	pdvu
披肝沥胆	pgld
飘忽不定	phbd
疲乏	pifa
排除异己	piyj
叛逃	pjtc
攀折	pjve
破口大骂	pkdm
拍马难及	pmnj
破位	poww
岂不快哉	qbkz
曲不离口	qblk
禽兽	qbuz
取长补短	qibd
千疮百孔	qibk
七点	qidm
奇耻大辱	qidr
气愤	qiff
起伏	qifu
牵肠挂肚	qigd
企划	qihx
契机	qiji
气量	qill
骑马	qima
气泡	qipc
歧途	qitu
千差万别	qiwb
企稳	qiwf
栖息	qixi
气喘吁吁	qixx
欺压	qiya
起义	qiyi
青出于蓝而胜于蓝	qiyl
契约	qiyt
棋子	qizi
轻敌	qkdi
清淡	qkdj
旗开得胜	qkdu
轻浮	qkfu
清除	qkiu
青椒	qkjn
情节	qkjp
穷困潦倒	qkld
轻灵	qklk
蜻蜓	qktk
情商	qkuh
轻视	qkui
轻信	qkxb
