渐	jmdj
曝	puou
淠	pidl
嫔	pbnb
匏	pcds
咆	pcks
俳	pdrf
郫	pipe
谝	pmyc
钋	pojb
粕	pomb
洴	pkdk
俜	pkrv
龟	qqdv
将	qldc
擎	qkcu
橇	qnmm
佺	qrrw
勍	qkwl
嵚	qber
瑔	qrwu
鼩	qujk
区	qukx
祛	qups
亲	qblm
侵	qbry
柒	qidm
漆	qidu
岂	qiej
启	qihk
棋	qimb
骑	qimk
祈	qipj
砌	qiud
气	qipv
欺	qiqr
起	qitj
轻	qkig
亲	qklm
羌	qlyv
浅	qmdj
黔	qmhv
铅	qmjk
窍	qnbv
挈	qpfu
秋	qqhh
蚯	qqiq
仇	qqrj
泉	qrbu
拳	qrju
劝	qryl
瘸	qtbr
癯	qubf
渠	qudm
驱	qumx
去	quts
屈	quui
勤	qbnl
矜	qbsv
钦	qbjr
蕲	qicj
芑	qicj
蛴	qiil
耆	qilo
憩	qiqx
蹊	qizd
黥	qkhx
磬	qkuu
镪	qlji
骞	qmbm
慊	qmxn
巯	qqvv
糗	qqmq
蛆	quiq
璩	quwu
诎	quyi
纫	rfsr
刃	rfdd
轫	rfir
任	rfrr
壤	rhty
让	rhyu
染	rjdm
容	rsbk
铷	rujk
糅	rzmm
辱	ruic
溞	scdi
四	sike
塞	sdbt
啬	seuk
嘶	sikj
司	sivk
竦	sslu
讼	ssys
粟	suxm
酥	suyh
随	svez
穗	svhx
碎	svuu
遂	svzu
瑟	sewb
厮	siij
锶	sijx
耜	silk
淞	ssds
涑	sudu
觫	sudu
燧	svhz
飕	szjy
沓	tauo
太	tddd
㛚	tsny
碳	tjuh
涛	tcdc
讨	tcyc
跆	tdzk
趟	thtk
贪	tjrr
坦	tjta
摊	tjff
谭	tjyu
厅	tkid
听	tkkj
汀	tkdd
瑱	tmwb
恬	tmxk
腆	tmob
眺	tnod
拓	tofu
铊	tojb
驼	tomb
椭	tomo
贴	tpkk
彤	tsdp
铜	tsjk
同	tskk
桐	tsmk
瞳	tsol
统	tsse
图	tukd
土	tuua
途	tuzh
颓	tvhr
蜕	tvie
头	tzdd
涂	tudh
谈	tjyh
溻	tadx
铊	tajb
榻	tamx
遢	tazx
掏	tcff
逃	tczd
羰	thyh
锑	tijp
嚏	tikr
悌	tixp
醍	tiyr
郯	tjhe
覃	tjxu
澹	tjdk
町	tktd
霆	tkyz
酮	tsyk
恸	tsxl
钍	tujt
铽	tejx
龆	tnvk
酴	tuyh
笙	ugvu
埏	ujtz
湜	uidr
隃	uued
椹	ufmv
闪	ujmr
衫	ujpp
沙	uadu
杉	uamp
稍	ucho
少	ucxp
筛	udvj
舌	ueqk
深	ufdm
甚	ufqv
什	ufru
勺	ucbd
鞘	ucgo
伸	ufru
绅	ufsu
慎	ufxb
胂	ufou
牲	ugnu
胜	ugou
圣	ugyt
尚	uhxk
裳	uhxy
事	uial
实	uibd
湿	uidy
拾	uifk
驶	uimu
使	uirl
蚀	uiui
市	uiwj
式	uiyg
扇	ujhx
善	ujyk
钐	ujjp
蟀	ukiu
帅	uklj
薯	uuco
爽	uldx
烁	uohl
澍	uudc
输	uuid
竖	uull
数	uumw
暑	uuoo
属	uuuy
书	uuvd
述	uuzu
谁	uvyf
熟	uzwh
痧	uabu
艄	ucvo
厍	ueii
砷	ufuu
谂	ufyx
蜃	ufii
申	ufll
渑	ugdd
殇	uhdp
熵	uhhk
墒	uhtk
蓍	uico
轼	uiig
舐	uiqu
什	uiru
螫	uiti
虱	uivi
单	ujbl
潸	ujdo
舢	ujve
山	ujlk
蒴	uoco
束	uuan
黍	uuhu
姝	uunv
倏	uurq
水	uvln
绶	uzsy
哂	ufkx
嵊	ugen
珅	ufwu
殳	uujy
扎	vafv
楂	vama
浙	vedj
蜇	vefi
砧	vfuk
祗	vipd
纸	visu
奘	vlvd
窄	vdbv
渣	vada
炸	vahv
轧	vaiv
榨	vamv
召	vcdk
找	vcfg
肇	vchy
朝	vcuo
折	vefj
章	vhlu
疹	vfbp
贞	vflr
蟑	vhiu
镇	vfjb
拯	vgfa
狰	vgql
整	vguv
筝	vgvl
障	vheu
樟	vhmu
掌	vhxu
旨	vibo
芝	vicv
治	vidk
汁	vidu
秩	vihu
帜	vijb
制	vipd
知	viuk
智	viuo
识	viyb
沾	vjdk
盏	vjjm
占	vjlk
站	vjlk
粘	vjmk
浊	vodi
灼	vohu
卓	volu
钟	vsjv
中	vsll
踵	vszv
注	vudv
主	vudw
蛛	vuiv
株	vumv
柱	vumv
住	vurv
筑	vuvf
逐	vuzu
煮	vulh
椎	vvmf
衠	vyii
谆	vyyz
㤘	vzxe
州	vzdl
咒	vzkj
周	vzkk
执	vifw
棹	vcmu
笊	vcvv
诏	vcyk
蓁	vfch
枕	vfmv
谵	vjyk
壮	vldu
溱	vfdh
瘴	vhbu
璋	vhwu
咫	viib
枳	vimb
踯	vize
蘸	vjch
湛	vjdv
禚	voph
酌	voyu
颛	vrer
篆	vrvu
冢	vsbn
渚	vudo
诌	vzye
忮	vixy
隹	vvrf
畖	watg
丸	wjpd
痿	wwbn
为	wwdd
顽	wjer
袜	wapm
外	wdxb
瘟	wfbm
稳	wfhx
问	wfmk
文	wfwx
望	whww
完	wjbe
晚	wjov
芜	wucw
污	wudk
巫	wugr
梧	wumk
物	wunw
伍	wurw
悟	wuxk
诬	wuyr
误	wuyt
未	wwan
薇	wwcw
危	wwdv
韪	wwow
威	wwxn
巍	wweg
委	wwhn
味	wwkw
猥	wwqn
伟	wwrw
畏	wwtn
胃	wwto
凹	wala
碗	wjuv
惋	wjxv
婺	wusn
圬	wutk
迕	wuzw
葳	wwcn
闱	wwmw
娓	wwnm
旬	xybo
炘	xbhj
烜	xrha
洗	xide
舷	xmvy
䜣	xbyj
冔	xuoy
叚	xxvy
浠	xidj
巷	xlcs
羞	xqyi
馨	xbuo
心	xbdd
锌	xbju
辛	xblu
衅	xbxb
席	xigj
稀	xihj
吸	xikj
媳	xinx
膝	xiou
夕	xipd
系	xipx
翕	xirx
喜	xiuk
杏	xkmk
星	xkou
猩	xkqu
惺	xkxu
性	xkxu
醒	xkyu
项	xlgr
香	xlho
详	xlyy
衔	xmii
线	xmsj
消	xndo
硝	xnuo
箫	xnvs
效	xnww
蟹	xpdi
泄	xpdu
械	xpmc
斜	xpru
些	xpve
谐	xpyb
谢	xpyc
宣	xrba
绁	xpsu
锈	xqjn
轩	xrig
玄	xrwy
喧	xrka
眩	xroy
选	xrze
匈	xsbk
雄	xsuf
凶	xsxk
血	xtpm
削	xtxd
雪	xtye
徐	xuih
婿	xuno
须	xupr
墟	xuty
恤	xuxx
狭	xxqj
霞	xxyy
殉	xydo
循	xyio
驯	xymi
迅	xyzu
咸	xmxk
畜	xuwt
晞	xioj
嬉	xink
奚	xipd
硒	xiux
荇	xkci
相	xlmo
飨	xlxl
庠	xlgy
藓	xmcy
仙	xmre
冼	xmde
岘	xmee
蚬	xmie
娴	xmnm
跹	xmzz
萧	xncs
魈	xngo
啸	xnks
骁	xnmw
枭	xnpm
绡	xnso
馐	xqui
噱	xtku
谑	xtya
嘘	xuky
罅	xxfh
黠	xxhk
硖	xxuj
醺	xyyh
砉	xufu
儇	xrry
讻	xsyk
虚	xuhy
孝	xnlz
珢	ybwg
银	ybjg
彧	yuad
颙	ysyr
异	yisc
蚰	yziy
嬴	ykwf
橼	yrmu
瀹	ytdc
尢	yzuv
虞	yuht
馧	yyhm
韵	yyld
禹	yupd
夷	yian
爚	ythc
衙	yaii
呀	yaky
讶	yayy
引	ybgl
椅	yimk
荫	ybco
蚓	ybil
因	ybkd
吟	ybkv
摇	ycff
约	ycsu
要	ycxn
痒	yhby
洋	yhdy
漾	yhdy
秧	yhhy
杨	yhmp
氧	yhqy
益	yibm
溢	yidm
抑	yife
移	yihx
役	yiiy
毅	yily
伊	yiry
依	yiry
壹	yiua
已	yivv
亦	yiwd
言	yjwk
翼	yixb
怡	yixk
议	yiyy
演	yjdb
淹	yjdd
艳	yjfb
烟	yjhd
衍	yjii
颜	yjir
檐	yjmk
燕	yjnh
易	yiow
严	yjyp
酽	yjyy
延	yjzv
颖	ykbr
俨	yjry
英	ykcy
莹	ykcy
婴	ykkn
鹦	ykkn
樱	ykmn
硬	ykug
赢	ykwf
冤	yrbd
院	yree
原	yrix
员	yrkr
缘	yrsu
鸳	yrxn
远	yrze
涌	ysdy
永	ysdn
庸	ysgl
咏	ysky
佣	ysry
曰	ytka
约	ytsu
说	ytye
鱼	yuda
宇	yuby
芋	yucy
浴	yudk
庾	yugy
鬻	yugl
屿	yuey
狱	yuqq
预	yusr
郁	yuue
玉	yuwd
羽	yuxx
语	yuyk
遇	yuzy
匀	yybd
援	yrfy
允	yyse
酝	yyys
有	yzuo
由	yzla
屹	yieq
咦	yiky
贻	yikk
以	yivr
狺	ybqk
龈	ybvg
夤	ybxb
霪	ybyr
杳	ycmo
瑶	ycwf
烨	yehu
徉	yhiy
肄	yiby
漪	yidk
镒	yijm
翊	yilx
猗	yiqk
圯	yits
彝	yivc
奕	yiwd
鼹	yjjn
铅	yjjk
腌	yjod
研	yjuk
鄢	yjve
筵	yjvz
琰	yjwh
恹	yjxq
膺	ykgo
楹	ykmm
盈	yknm
沅	yrde
箢	yrvv
瑗	yrwy
蛹	ysiy
雍	yswf
慵	ysxl
钺	ytjv
萸	yucy
揄	yufd
圄	yukk
禺	yuld
觎	yure
鹬	yusn
聿	yuvl
谀	yuyy
殒	yydr
陨	yyer
纭	yyss
熨	yyuh
筠	yyvd
韫	yywm
鱿	yzay
蝣	yziz
铀	yzjy
飏	yhjp
祐	yzpk
验	yjma
燠	yuhd
柚	yzmy
杂	zajm
吱	ziky
鄑	ziye
粢	zidm
澡	zcdm
载	zdui
字	zibz
资	zidr
咱	zjkz
昨	zoov
左	zoug
钻	zrjk
总	zsbx
宗	zsbx
棕	zsmx
纵	zssr
族	zufu
奏	zzft
撙	zyfc
咂	zakj
凿	zcyk
啧	zekr
笮	zevv
缯	zgso
渍	zidr
锱	zijt
梓	zimu
镞	zuju
卒	zuwu
诹	zzyy
偬	zsrx
阼	zoev
邹	zzde
十	al
啊	a
阿	aa
腌	aao
吖	aak
嗄	aakw
阿	aae
阿	aaek
腌	aaod
昂	ah
盎	ahy
肮	aho
盎	ahym
肮	ahoj
昂	ahoe
爱	ai
哎	aikx
唉	aik
艾	aic
挨	aif
爱	aipy
埃	ait
矮	aiu
哀	aiw
癌	aib
嗳	aiky
碍	aiuc
暧	aio
嫒	ain
隘	aie
霭	aiy
蔼	aicv
皑	aibj
爱	aip
艾	aicx
矮	aiun
癌	aibe
暧	aioy
嫒	ainy
隘	aiem
霭	aiyv
安	an
按	anf
俺	anr
案	anb
暗	ano
安	anbn
岸	ane
庵	ang
胺	anon
氨	anq
黯	anh
鞍	angn
谙	any
铵	anj
桉	anm
鹌	and
按	anfn
俺	anrd
暗	anoo
岸	aneg
庵	angd
氨	anqn
黯	anho
谙	anyo
桉	anmn
鹌	andn
奥	ao
熬	aof
傲	aor
澳	aod
嗷	aok
奥	aopd
袄	aop
敖	aofw
凹	aol
拗	aofl
鳌	aofa
坳	aot
獒	aofq
翱	aob
螯	aofi
骜	aofm
懊	aox
遨	aoz
鏊	aofj
鏖	aog
熬	aofh
傲	aorw
澳	aodd
嗷	aokw
袄	aopy
凹	aola
坳	aotl
翱	aobx
懊	aoxd
遨	aozw
鏖	aogj
欸	ais
欸	aisr
瑷	aiwy
锕	aaj
锕	aajk
吖	aaky
啊	aakk
卬	ahp
卬	ahpe
嗌	aikm
砹	aiux
叆	aiey
锿	aij
锿	aijy
毐	aiuw
堨	aitv
埃	aitu
唵	ank
唵	ankd
埯	ant
犴	anqg
垵	antn
盦	anrm
聱	aofe
媪	aon
媪	aonm
璈	aow
璈	aoww
廒	aogw
岙	aoy
奡	aoa
奡	aoal
隩	aoe
隩	aoed
不	b
把	ba
吧	bak
八	bap
巴	bav
爸	bab
罢	bas
霸	bay
拔	baf
扒	bafb
坝	bat
芭	bac
叭	bakb
疤	babb
靶	bag
捌	bafd
耙	bal
跋	baz
粑	bam
钯	baj
灞	bad
笆	bavb
鲅	baa
巴	basl
八	bapn
巴	bavv
罢	bass
霸	bayo
坝	batr
芭	bacb
靶	bagb
跋	bazd
钯	bajb
灞	bado
鲅	baad
滨	bb
斌	bbw
宾	bbb
彬	bbm
鬓	bba
殡	bbd
缤	bbs
槟	bbmb
摈	bbf
膑	bbo
玢	bbwd
镔	bbj
斌	bbwv
彬	bbmp
鬓	bbab
濒	bbdr
缤	bbsb
摈	bbfb
膑	bbob
报	bc
包	bcb
宝	bcby
保	bcr
抱	bcf
爆	bch
暴	bco
薄	bcc
炮	bchs
堡	bcrt
曝	bcou
豹	bcv
饱	bcu
鲍	bca
煲	bcrh
剥	bce
剥	bced
刨	bcbd
瀑	bcd
胞	bcos
褒	bcw
葆	bccm
苞	bccs
孢	bczs
雹	bcy
趵	bcz
褓	bcp
包	bcbs
保	bcrm
抱	bcfs
薄	bccc
饱	bcus
鲍	bcas
褒	bcwy
雹	bcys
白	bd
百	bda
摆	bdf
拜	bdu
败	bdk
柏	bdm
伯	bdrb
呗	bdkr
掰	bduu
佰	bdr
稗	bdh
捭	bdfu
百	bdab
摆	bdfs
败	bdkw
柏	bdmb
本	bf
笨	bfv
奔	bfd
苯	bfc
本	bfaa
锛	bfj
本	bfa
奔	bfdc
坌	bfb
坌	bfbt
苯	bfcb
锛	bfjc
贲	bfur
蹦	bg
崩	bge
泵	bgu
甭	bgb
嘣	bgk
蹦	bgzo
绷	bgs
蚌	bgi
迸	bgz
崩	bgeo
甭	bgby
镚	bgj
镚	bgjo
嘣	bgko
绷	bgso
蚌	bgif
迸	bgzk
祊	bgp
祊	bgpf
帮	bh
彭	bhup
棒	bhm
榜	bhmf
邦	bhf
绑	bhs
磅	bhu
傍	bhr
镑	bhj
蚌	bhi
浜	bhd
膀	bho
谤	bhy
梆	bhme
蒡	bhc
帮	bhfj
邦	bhfe
绑	bhse
镑	bhjf
浜	bhdb
膀	bhof
谤	bhyf
蒡	bhcf
比	bi
必	bid
逼	bizt
笔	biv
箅	bivl
币	bip
碧	biw
毕	bibu
彼	bii
避	biz
壁	biu
鼻	bizl
闭	bim
臂	biuo
弊	bidc
敝	bidw
毙	bib
蔽	bic
哔	bik
俾	bir
婢	bin
痹	bibl
弼	bigg
庇	big
哔	biku
匕	bipv
贲	biur
泌	bidb
吡	bikb
陛	bie
铋	bij
篦	bivb
裨	bipu
蓖	bicb
筚	bivu
濞	bidl
纰	bis
荸	bicz
币	bipj
彼	biiy
壁	biut
蔽	bicw
鄙	bike
婢	binu
陛	biet
纰	bisb
办	bj
版	bjp
般	bjv
半	bjd
班	bjw
办	bjld
板	bjm
搬	bjf
斑	bjww
伴	bjr
扮	bjfd
拌	bjfb
瓣	bjl
扳	bjfy
颁	bjb
坂	bjt
绊	bjs
阪	bje
钣	bjjy
瘢	bjby
版	bjpy
伴	bjrb
颁	bjbr
绊	bjsb
并	bk
病	bkb
兵	bkq
冰	bkd
屏	bkuk
饼	bku
丙	bka
炳	bkh
秉	bkp
柄	bkm
禀	bkw
摒	bkf
邴	bkbe
病	bkbb
兵	bkqb
炳	bkhb
秉	bkpn
禀	bkwx
摒	bkfk
边	bm
便	bmr
变	bmw
遍	bmz
编	bms
边	bmzl
扁	bmh
鞭	bmg
贬	bmk
卞	bmdx
匾	bmkc
弁	bmsc
砭	bmu
汴	bmd
苄	bmc
鳊	bma
蝙	bmic
便	bmrg
变	bmwy
贬	bmkf
汴	bmdb
苄	bmcb
鳊	bmac
表	bn
标	bnm
婊	bnn
彪	bnh
飙	bnq
镖	bnj
膘	bno
裱	bnp
骠	bnmx
彪	bnhp
飙	bnqx
膘	bnox
裱	bnpy
镳	bnjh
拨	bo
波	bod
博	bou
伯	bor
薄	boc
拨	bofd
柏	bom
播	bof
卜	bol
泊	bodb
搏	bofc
剥	boe
勃	boul
驳	bomx
钵	bojb
簿	bovc
玻	bow
脖	booz
铂	boj
蕃	boct
帛	bob
跛	boz
渤	bodl
钹	bojd
菠	bocy
膊	boo
亳	bowq
舶	bovb
簸	bovy
擘	bouu
檗	boum
饽	bouz
礴	bouc
波	body
伯	borb
薄	bocc
柏	bomb
播	boft
剥	boed
玻	bowy
帛	bobj
跛	bozy
膊	booc
鲌	boa
箔	bov
别	bp
憋	bpd
鳖	bpda
瘪	bpb
蹩	bpdr
别	bpkd
憋	bpdx
瘪	bpbb
别	bpk
部	bu
不	bua
布	buu
补	bup
步	buv
堡	bur
不	buad
捕	buf
卟	bukb
簿	buvc
卜	bul
埠	but
钚	buj
埔	butf
怖	bux
哺	buk
逋	buz
步	buvp
堡	burt
怖	buxj
逋	buzf
被	bw
倍	bwr
北	bwl
背	bwlo
呗	bwk
被	bwpy
杯	bwm
贝	bwkr
悲	bwf
备	bww
辈	bwfi
臂	bwuo
碑	bwu
勃	bwul
卑	bwp
蓓	bwc
焙	bwh
悖	bwx
陂	bwe
钡	bwj
狈	bwq
惫	bwwx
碚	bwuk
倍	bwrk
北	bwlb
悲	bwfx
备	bwwt
卑	bwpu
蓓	bwck
焙	bwhk
陂	bwey
钡	bwjr
朳	bamb
犇	bfn
荜	bic
睥	bio
睥	biou
薜	bicu
啵	bok
啵	boky
魃	bagd
菝	bacd
岜	bae
岜	baeb
妭	ban
妭	band
胈	bao
胈	baod
哱	bakz
羓	bayb
豳	bbe
豳	bbeu
髌	bbg
髌	bbgb
傧	bbr
傧	bbrb
邠	bbbe
枹	bcms
畚	bfs
栟	bfm
甏	bguw
堋	bgt
堋	bgto
琫	bgw
琫	bgwl
泵	bguu
玤	bhw
棓	bhmk
塝	bht
塝	bhtf
搒	bhff
滗	bidm
髀	bigu
秕	bih
妣	binb
畀	bit
畀	bitl
嬖	biun
愎	bix
赑	bikr
狴	biq
狴	biqt
坒	bibt
佖	birb
邲	bibe
诐	biy
珌	biwb
觱	bixy
觱	biwy
鲾	bia
鲾	biat
癍	bjbw
柈	bjmb
昄	bjoy
湴	bjdy
靽	bjgb
昺	bko
昺	bkob
蛃	bki
蛃	bkib
褊	bmp
忭	bmx
抃	bmf
抃	bmfb
碥	bmuc
昪	bmo
昪	bmoc
萹	bmcc
鳔	bna
鳔	bnax
飑	bnjs
杓	bnmu
俵	bnr
俵	bnry
瘭	bnb
瘭	bnbx
脿	bnoy
蔈	bnc
蔈	bncx
熛	bnhx
儦	bnrh
藨	bnch
鹁	boun
僰	boar
砵	boub
踣	bozk
哱	bokz
桲	bomz
鲌	boab
榑	bomc
嶓	boet
镈	bojc
馞	boh
馞	bohz
磻	bout
晡	buo
晡	buof
醭	buyn
蔀	buc
鐾	bwuj
庳	bwgu
椑	bwmu
糒	bwmy
蚆	baib
宾	bbbb
白	bdpo
倴	bfrc
坋	bftd
瀌	bndh
摽	bnfx
表	bnfy
袯	bopd
备	bw
才	c
擦	ca
嚓	cak
拆	caf
拆	cafi
嚓	cakx
擦	cafx
草	cc
操	ccf
曹	cca
槽	ccm
糙	ccmz
嘈	cck
漕	ccd
操	ccfm
曹	ccao
槽	ccmo
嘈	ccko
菜	cd
才	cda
踩	cdz
彩	cdpp
蔡	cdc
菜	cdcm
财	cdk
采	cdp
猜	cdq
材	cdm
裁	cdu
睬	cdo
才	cdap
踩	cdzm
蔡	cdcx
财	cdkc
猜	cdqo
裁	cduy
睬	cdom
偲	cdr
偲	cdrx
测	ce
侧	cer
册	cep
策	cev
栅	cem
测	cedd
厕	cei
恻	cex
侧	cerd
册	cepa
策	cevn
栅	cemc
厕	ceid
恻	cexd
测	ced
岑	cf
参	cfs
涔	cfd
参	cfsp
涔	cfdv
岑	cfev
岑	cfe
曾	cg
层	cgu
蹭	cgz
噌	cgk
层	cgus
曾	cgbo
蹭	cgzo
噌	cgko
曾	cgb
藏	ch
仓	chr
苍	chc
舱	chv
沧	chd
伧	chrv
藏	chci
舱	chvv
沧	chdv
次	ci
此	civ
词	ciy
刺	cia
赐	cik
慈	cib
茨	cic
辞	ciq
瓷	cid
磁	ciu
祠	cip
雌	civf
伺	cir
兹	ciby
疵	cibb
差	ciyg
糍	cim
鹚	cibn
此	civb
刺	ciad
赐	cikw
慈	cibx
茨	cicr
瓷	cidw
磁	ciuy
伺	cirk
糍	cimy
参	cj
残	cjd
惨	cjx
餐	cjl
灿	cjh
参	cjsp
掺	cjf
蚕	cjt
惭	cjxj
璨	cjw
粲	cjlm
孱	cju
餐	cjll
掺	cjfp
璨	cjwm
孱	cjuz
错	co
搓	cof
措	cofo
挫	coft
撮	cofy
错	cojo
厝	coi
锉	coj
磋	coug
蹉	coz
痤	cob
嵯	coe
厝	coio
蹉	cozg
痤	cobt
嵯	coeg
莝	coc
窜	cr
攒	crf
蹿	crz
篡	crv
攒	crfr
窜	crbi
蹿	crzi
篡	crvs
窜	crb
从	cs
葱	csc
丛	csr
聪	cse
琮	csw
从	csrr
淙	csd
匆	csb
枞	csmr
骢	csm
囱	csp
葱	cscx
丛	csra
聪	csex
淙	csdx
骢	csmx
囱	cspw
粗	cu
醋	cuy
促	cur
卒	cuw
簇	cuv
粗	cumq
蹙	cua
蹙	cuar
猝	cuq
蹴	cuz
醋	cuyo
促	curr
簇	cuvu
蹙	cuwr
猝	cuqu
蹴	cuzy
粗	cum
催	cv
崔	cve
翠	cvx
衰	cvwy
脆	cvo
催	cvrf
摧	cvf
萃	cvc
粹	cvm
淬	cvd
啐	cvk
璀	cvw
悴	cvxu
瘁	cvb
崔	cvef
脆	cvov
摧	cvff
粹	cvmu
淬	cvdu
啐	cvku
瘁	cvbu
催	cvr
村	cy
存	cyu
寸	cya
皴	cys
忖	cyx
村	cymc
存	cyuz
寸	cyad
皴	cysy
忖	cyxc
村	cym
凑	cz
辏	czi
辏	czit
璁	cswx
螬	cci
螬	ccio
艚	ccv
艚	ccvo
嶒	cge
嶒	cgeo
玱	chw
玱	chwv
鸧	chrn
呲	cikb
跐	ciz
跐	cizb
茈	cicb
佽	cirr
泚	cidb
莿	cicd
黪	cjhp
骖	cjm
骖	cjmp
矬	cou
矬	cout
鹾	col
鹾	colg
措	coo
措	coof
脞	coot
瘥	cobg
莝	coct
酂	con
酂	cone
撺	crfi
镩	crj
爨	crp
爨	crph
汆	crr
苁	cscr
熜	csh
悰	csx
悰	csxx
蔟	cuc
殂	cud
殂	cudq
徂	cui
徂	cuiq
酢	cuyv
榱	cvmy
崒	cveu
缞	cvs
缞	cvsy
漼	cvdf
邨	cyt
邨	cyte
腠	czo
腠	czot
草	cccu
玼	ciwb
瑳	cowg
凑	czdt
的	d
大	da
打	daf
达	daz
答	dav
垯	dat
搭	dafk
大	daun
哒	dak
嗒	dakk
沓	dau
瘩	dab
鞑	dag
惮	dax
耷	dad
褡	dap
打	dafd
答	davk
沓	dauo
耷	dade
靼	dag
到	dc
道	dcz
倒	dcr
刀	dcv
岛	dcp
到	dcad
导	dcs
盗	dcd
捣	dcf
稻	dch
叨	dck
悼	dcx
蹈	dczj
祷	dcpc
焘	dcfh
氘	dcq
倒	dcrd
刀	dcvp
岛	dcpe
导	dcsc
捣	dcfe
叨	dckd
代	dd
带	ddf
待	ddi
戴	ddu
呆	ddk
袋	ddry
贷	ddr
黛	ddrh
逮	ddz
歹	dda
岱	ddre
怠	dds
傣	ddru
殆	ddd
棣	ddm
大	ddun
诒	ddy
玳	ddw
待	ddic
戴	ddub
呆	ddkm
贷	ddrr
逮	ddzn
歹	ddax
怠	ddsx
棣	ddmn
诒	ddyk
埭	ddtn
玳	ddwy
得	de
地	det
德	dei
地	dety
得	deic
德	deix
等	dg
灯	dgh
邓	dgy
登	dgv
瞪	dgo
蹬	dgz
凳	dgvj
噔	dgk
镫	dgja
嶝	dge
磴	dgu
灯	dghd
邓	dgye
登	dgva
瞪	dgoa
澄	dgd
蹬	dgza
噔	dgka
嶝	dgea
磴	dgua
当	dh
党	dhx
档	dhm
挡	dhf
荡	dhc
当	dhxe
铛	dhj
裆	dhp
凼	dhu
宕	dhb
谠	dhy
砀	dhup
菪	dhcu
挡	dhfe
荡	dhcp
铛	dhje
裆	dhpe
凼	dhuk
垱	dht
垱	dhte
地	di
第	div
滴	didk
低	dir
底	dig
地	dity
帝	diw
迪	dizy
弟	dib
敌	diq
嘀	dik
蒂	dic
抵	dif
递	diz
狄	diqh
笛	divy
堤	dit
娣	dinp
谛	diy
涤	did
邸	dide
荻	dich
嫡	din
棣	dim
氐	diu
缔	dis
骶	digd
砥	diud
镝	dij
坻	ditd
诋	diyd
碲	diuj
提	difr
第	divp
低	dird
弟	dibp
敌	diqw
嘀	dikk
蒂	dicj
抵	difd
递	dizp
翟	dixf
堤	ditr
嫡	dink
棣	dimn
䗖	dii
镝	dijk
但	dj
单	djb
疸	djb
蛋	djv
丹	djp
淡	djd
但	djrd
胆	djo
弹	djg
担	djf
旦	djoa
氮	djq
儋	djr
诞	djy
啖	djk
耽	dje
掸	djfl
石	dja
膻	djod
惮	djx
殚	djdl
郸	djbe
眈	djov
石	djak
丹	djpa
氮	djqh
儋	djrk
耽	djev
定	dk
顶	dkd
丁	dka
鼎	dkov
订	dky
定	dkbr
叮	dkk
钉	dkj
盯	dko
町	dkt
腚	dkor
锭	dkjr
啶	dkkr
碇	dku
酊	dkyd
仃	dkr
铤	dkjz
丁	dkal
叮	dkkd
钉	dkjd
盯	dkod
町	dktd
碇	dkur
仃	dkrd
点	dm
店	dmg
电	dml
殿	dmu
点	dmlh
典	dmlb
垫	dmf
碘	dmub
滇	dmd
奠	dmbd
甸	dmbt
掂	dmfk
癫	dmb
巅	dme
淀	dmdr
惦	dmx
钿	dmj
踮	dmz
佃	dmr
靛	dmfr
玷	dmw
癜	dmby
店	dmgk
电	dmlv
颠	dmur
垫	dmft
滇	dmdb
癫	dmbr
巅	dmer
钿	dmjt
踮	dmzk
佃	dmrt
玷	dmwk
调	dn
掉	dnf
吊	dnk
叼	dnkd
钓	dnj
调	dnyk
鸟	dnw
鸟	dnp
刁	dnv
貂	dnvk
凋	dnd
碉	dnuk
鸟	dnwd
鸟	dnpa
鲷	dna
雕	dnkf
掉	dnfu
吊	dnkj
鲷	dnak
多	do
夺	dod
躲	dou
朵	doj
隋	doeo
剁	dojd
堕	doe
驮	dom
度	dog
舵	dov
哆	dokx
铎	dojl
跺	doz
垛	dot
踱	dozy
惰	dox
咄	dok
掇	dof
柁	domb
度	dogy
躲	doum
堕	doet
舵	dovb
跺	dozm
惰	doxo
咄	doki
掇	dofy
跌	dp
爹	dpb
蝶	dpi
碟	dpu
叠	dpy
跌	dpzu
谍	dpym
迭	dpz
佚	dpr
牒	dpp
喋	dpk
耋	dpl
爹	dpbx
蝶	dpim
碟	dpum
叠	dpyq
喋	dpkm
耋	dplt
丢	dq
丢	dqp
丢	dqps
段	dr
短	dru
断	drm
端	drl
锻	drj
缎	drs
煅	drh
椴	drmy
短	drua
锻	drjy
缎	drsy
塅	drt
塅	drty
动	ds
东	dsa
洞	dsd
懂	dsx
董	dsc
动	dsel
冬	dsw
栋	dsm
冻	dsdd
咚	dsk
侗	dsr
峒	dse
氡	dsq
垌	dst
硐	dsu
恫	dsxk
胴	dso
东	dsad
洞	dsdk
懂	dsxv
董	dscv
冬	dswd
侗	dsrk
峒	dsek
氡	dsqd
硐	dsuk
胴	dsok
读	du
度	dug
毒	duf
杜	dum
都	dul
独	duq
赌	duk
渡	dud
堵	dut
肚	duo
嘟	duke
督	duu
睹	duoo
笃	duv
妒	dun
镀	duj
渎	dudd
犊	dund
牍	dup
椟	dumd
读	duy
毒	dufm
杜	dumt
赌	duko
堵	duto
肚	duot
督	duuo
笃	duvm
镀	dujy
蠹	dua
对	dv
队	dve
堆	dvt
兑	dvb
敦	dvw
对	dvyc
碓	dvu
