漸	jmdj
莆	pucf
瀑	pudu
曝	puou
淠	pidl
嬪	pbnb
匏	pcds
咆	pcks
俳	pdrf
郫	pipe
諞	pmyc
釙	pojb
粕	pomb
洴	pkdk
俜	pkrv
龜	qqdv
將	qldc
擎	qkcu
橇	qnmm
佺	qrrw
勍	qkwl
嵚	qber
瑔	qrwu
鼩	qujk
區	qukx
祛	qups
親	qblm
侵	qbry
柒	qidm
漆	qidu
豈	qiej
啟	qihk
棋	qimb
騎	qimk
祈	qipj
砌	qiud
氣	qipv
欺	qiqr
起	qitj
輕	qkig
親	qklm
羌	qlyv
淺	qmdj
黔	qmhv
鉛	qmjk
竅	qnbv
挈	qpfu
秋	qqhh
蚯	qqiq
仇	qqrj
泉	qrbu
拳	qrju
勸	qryl
瘸	qtbr
癯	qubf
渠	qudm
驅	qumx
去	quts
屈	quui
勤	qbnl
矜	qbsv
欽	qbjr
蘄	qicj
芑	qicj
蠐	qiil
耆	qilo
憩	qiqx
蹊	qizd
黥	qkhx
磬	qkuu
鏹	qlji
騫	qmbm
慊	qmxn
巰	qqvv
糗	qqmq
蛆	quiq
璩	quwu
詘	quyi
紉	rfsr
刃	rfdd
軔	rfir
任	rfrr
壤	rhty
讓	rhyu
染	rjdm
容	rsbk
銣	rujk
糅	rzmm
辱	ruic
溞	scdi
四	sike
塞	sdbt
嗇	seuk
嘶	sikj
司	sivk
竦	sslu
訟	ssys
粟	suxm
酥	suyh
隨	svez
穗	svhx
碎	svuu
遂	svzu
瑟	sewb
廝	siij
鍶	sijx
耜	silk
淞	ssds
涑	sudu
觫	sudu
燧	svhz
颼	szjy
沓	tauo
太	tddd
?	tsny
碳	tjuh
濤	tcdc
討	tcyc
跆	tdzk
趟	thtk
貪	tjrr
坦	tjta
攤	tjff
譚	tjyu
廳	tkid
聽	tkkj
汀	tkdd
瑱	tmwb
恬	tmxk
腆	tmob
眺	tnod
拓	tofu
鉈	tojb
駝	tomb
橢	tomo
貼	tpkk
彤	tsdp
銅	tsjk
同	tskk
桐	tsmk
瞳	tsol
統	tsse
圖	tukd
土	tuua
途	tuzh
頹	tvhr
蛻	tvie
頭	tzdd
涂	tudh
談	tjyh
溻	tadx
鉈	tajb
榻	tamx
遢	tazx
掏	tcff
逃	tczd
羰	thyh
銻	tijp
嚏	tikr
悌	tixp
醍	tiyr
郯	tjhe
覃	tjxu
澹	tjdk
町	tktd
霆	tkyz
酮	tsyk
慟	tsxl
釷	tujt
鋱	tejx
齠	tnvk
酴	tuyh
笙	ugvu
埏	ujtz
湜	uidr
隃	uued
椹	ufmv
閃	ujmr
衫	ujpp
沙	uadu
杉	uamp
稍	ucho
少	ucxp
篩	udvj
舌	ueqk
深	ufdm
甚	ufqv
什	ufru
勺	ucbd
鞘	ucgo
伸	ufru
紳	ufsu
慎	ufxb
胂	ufou
牲	ugnu
勝	ugou
圣	ugyt
尚	uhxk
裳	uhxy
事	uial
實	uibd
濕	uidy
拾	uifk
駛	uimu
使	uirl
蝕	uiui
市	uiwj
式	uiyg
扇	ujhx
善	ujyk
釤	ujjp
蟀	ukiu
帥	uklj
薯	uuco
爽	uldx
爍	uohl
澍	uudc
輸	uuid
豎	uull
數	uumw
暑	uuoo
屬	uuuy
書	uuvd
述	uuzu
誰	uvyf
熟	uzwh
痧	uabu
艄	ucvo
厙	ueii
砷	ufuu
諗	ufyx
蜃	ufii
申	ufll
澠	ugdd
殤	uhdp
熵	uhhk
墑	uhtk
蓍	uico
軾	uiig
舐	uiqu
什	uiru
螫	uiti
虱	uivi
單	ujbl
潸	ujdo
舢	ujve
山	ujlk
蒴	uoco
束	uuan
黍	uuhu
姝	uunv
倏	uurq
水	uvln
綬	uzsy
哂	ufkx
嵊	ugen
珅	ufwu
殳	uujy
扎	vafv
楂	vama
浙	vedj
蜇	vefi
砧	vfuk
祗	vipd
紙	visu
奘	vlvd
窄	vdbv
渣	vada
炸	vahv
軋	vaiv
榨	vamv
召	vcdk
找	vcfg
肇	vchy
朝	vcuo
折	vefj
章	vhlu
疹	vfbp
貞	vflr
蟑	vhiu
鎮	vfjb
拯	vgfa
猙	vgql
整	vguv
箏	vgvl
障	vheu
樟	vhmu
掌	vhxu
旨	vibo
芝	vicv
治	vidk
汁	vidu
秩	vihu
幟	vijb
制	vipd
知	viuk
智	viuo
識	viyb
沾	vjdk
盞	vjjm
占	vjlk
站	vjlk
粘	vjmk
濁	vodi
灼	vohu
卓	volu
鐘	vsjv
中	vsll
踵	vszv
注	vudv
主	vudw
蛛	vuiv
株	vumv
柱	vumv
住	vurv
筑	vuvf
逐	vuzu
煮	vulh
椎	vvmf
衠	vyii
諄	vyyz
?	vzxe
州	vzdl
咒	vzkj
周	vzkk
執	vifw
棹	vcmu
笊	vcvv
詔	vcyk
蓁	vfch
枕	vfmv
譫	vjyk
壯	vldu
溱	vfdh
瘴	vhbu
璋	vhwu
咫	viib
枳	vimb
躑	vize
蘸	vjch
湛	vjdv
禚	voph
酌	voyu
顓	vrer
篆	vrvu
冢	vsbn
渚	vudo
謅	vzye
忮	vixy
隹	vvrf
畖	watg
丸	wjpd
痿	wwbn
為	wwdd
頑	wjer
襪	wapm
外	wdxb
瘟	wfbm
穩	wfhx
問	wfmk
文	wfwx
望	whww
完	wjbe
晚	wjov
蕪	wucw
污	wudk
巫	wugr
梧	wumk
物	wunw
伍	wurw
悟	wuxk
誣	wuyr
誤	wuyt
未	wwan
薇	wwcw
危	wwdv
韙	wwow
威	wwxn
巍	wweg
委	wwhn
味	wwkw
猥	wwqn
偉	wwrw
畏	wwtn
胃	wwto
凹	wala
碗	wjuv
惋	wjxv
婺	wusn
圬	wutk
迕	wuzw
葳	wwcn
闈	wwmw
娓	wwnm
旬	xybo
炘	xbhj
烜	xrha
洗	xide
舷	xmvy
?	xbyj
冔	xuoy
叚	xxvy
浠	xidj
巷	xlcs
羞	xqyi
馨	xbuo
心	xbdd
鋅	xbju
辛	xblu
釁	xbxb
席	xigj
稀	xihj
吸	xikj
媳	xinx
膝	xiou
夕	xipd
系	xipx
翕	xirx
喜	xiuk
杏	xkmk
星	xkou
猩	xkqu
惺	xkxu
性	xkxu
醒	xkyu
項	xlgr
香	xlho
詳	xlyy
銜	xmii
線	xmsj
消	xndo
硝	xnuo
簫	xnvs
效	xnww
蟹	xpdi
泄	xpdu
械	xpmc
斜	xpru
些	xpve
諧	xpyb
謝	xpyc
宣	xrba
紲	xpsu
銹	xqjn
軒	xrig
玄	xrwy
喧	xrka
眩	xroy
選	xrze
匈	xsbk
雄	xsuf
兇	xsxk
血	xtpm
削	xtxd
雪	xtye
徐	xuih
婿	xuno
須	xupr
墟	xuty
恤	xuxx
狹	xxqj
霞	xxyy
殉	xydo
循	xyio
馴	xymi
迅	xyzu
咸	xmxk
畜	xuwt
晞	xioj
嬉	xink
奚	xipd
硒	xiux
荇	xkci
相	xlmo
饗	xlxl
庠	xlgy
蘚	xmcy
仙	xmre
冼	xmde
峴	xmee
蜆	xmie
嫻	xmnm
躚	xmzz
蕭	xncs
魈	xngo
嘯	xnks
驍	xnmw
梟	xnpm
綃	xnso
饈	xqui
噱	xtku
謔	xtya
噓	xuky
罅	xxfh
黠	xxhk
硤	xxuj
醺	xyyh
砉	xufu
儇	xrry
讻	xsyk
虛	xuhy
孝	xnlz
珢	ybwg
銀	ybjg
彧	yuad
颙	ysyr
異	yisc
蚰	yziy
嬴	ykwf
櫞	yrmu
瀹	ytdc
尢	yzuv
虞	yuht
馧	yyhm
韻	yyld
禹	yupd
夷	yian
爚	ythc
衙	yaii
呀	yaky
訝	yayy
引	ybgl
椅	yimk
蔭	ybco
蚓	ybil
因	ybkd
吟	ybkv
搖	ycff
約	ycsu
要	ycxn
癢	yhby
洋	yhdy
漾	yhdy
秧	yhhy
楊	yhmp
氧	yhqy
益	yibm
溢	yidm
抑	yife
移	yihx
役	yiiy
毅	yily
伊	yiry
依	yiry
壹	yiua
已	yivv
亦	yiwd
言	yjwk
翼	yixb
怡	yixk
議	yiyy
演	yjdb
淹	yjdd
艷	yjfb
煙	yjhd
衍	yjii
顏	yjir
檐	yjmk
燕	yjnh
易	yiow
嚴	yjyp
釅	yjyy
延	yjzv
穎	ykbr
儼	yjry
英	ykcy
瑩	ykcy
嬰	ykkn
鸚	ykkn
櫻	ykmn
硬	ykug
贏	ykwf
冤	yrbd
院	yree
原	yrix
員	yrkr
緣	yrsu
鴛	yrxn
遠	yrze
涌	ysdy
永	ysdn
庸	ysgl
詠	ysky
傭	ysry
曰	ytka
約	ytsu
說	ytye
魚	yuda
宇	yuby
芋	yucy
浴	yudk
庾	yugy
鬻	yugl
嶼	yuey
獄	yuqq
預	yusr
郁	yuue
玉	yuwd
羽	yuxx
語	yuyk
遇	yuzy
勻	yybd
援	yrfy
允	yyse
醞	yyys
有	yzuo
由	yzla
屹	yieq
咦	yiky
貽	yikk
以	yivr
狺	ybqk
齦	ybvg
夤	ybxb
霪	ybyr
杳	ycmo
瑤	ycwf
燁	yehu
徉	yhiy
肄	yiby
漪	yidk
鎰	yijm
翊	yilx
猗	yiqk
圯	yits
彝	yivc
奕	yiwd
鼴	yjjn
鉛	yjjk
腌	yjod
研	yjuk
鄢	yjve
筵	yjvz
琰	yjwh
懨	yjxq
膺	ykgo
楹	ykmm
盈	yknm
沅	yrde
箢	yrvv
瑗	yrwy
蛹	ysiy
雍	yswf
慵	ysxl
鉞	ytjv
萸	yucy
揄	yufd
圄	yukk
禺	yuld
覦	yure
鷸	yusn
聿	yuvl
諛	yuyy
殞	yydr
隕	yyer
紜	yyss
熨	yyuh
筠	yyvd
韞	yywm
魷	yzay
蝣	yziz
鈾	yzjy
飏	yhjp
祐	yzpk
驗	yjma
燠	yuhd
柚	yzmy
雜	zajm
吱	ziky
鄑	ziye
粢	zidm
澡	zcdm
載	zdui
字	zibz
資	zidr
咱	zjkz
昨	zoov
左	zoug
鉆	zrjk
總	zsbx
宗	zsbx
棕	zsmx
縱	zssr
族	zufu
奏	zzft
撙	zyfc
咂	zakj
鑿	zcyk
嘖	zekr
笮	zevv
繒	zgso
漬	zidr
錙	zijt
梓	zimu
鏃	zuju
卒	zuwu
諏	zzyy
傯	zsrx
阼	zoev
鄒	zzde
十	al
啊	a
阿	aa
腌	aao
吖	aak
嗄	aakw
阿	aae
阿	aaek
腌	aaod
昂	ah
盎	ahy
骯	aho
盎	ahym
骯	ahoj
昂	ahoe
愛	ai
哎	aikx
唉	aik
艾	aic
挨	aif
愛	aipy
埃	ait
矮	aiu
哀	aiw
癌	aib
噯	aiky
礙	aiuc
曖	aio
嬡	ain
隘	aie
靄	aiy
藹	aicv
皚	aibj
愛	aip
艾	aicx
矮	aiun
癌	aibe
曖	aioy
嬡	ainy
隘	aiem
靄	aiyv
安	an
按	anf
俺	anr
案	anb
暗	ano
安	anbn
岸	ane
庵	ang
胺	anon
氨	anq
黯	anh
鞍	angn
諳	any
銨	anj
桉	anm
鵪	and
按	anfn
俺	anrd
暗	anoo
岸	aneg
庵	angd
氨	anqn
黯	anho
諳	anyo
桉	anmn
鵪	andn
奧	ao
熬	aof
傲	aor
澳	aod
嗷	aok
奧	aopd
襖	aop
敖	aofw
凹	aol
拗	aofl
鰲	aofa
坳	aot
獒	aofq
翱	aob
螯	aofi
驁	aofm
懊	aox
遨	aoz
鏊	aofj
鏖	aog
熬	aofh
傲	aorw
澳	aodd
嗷	aokw
襖	aopy
凹	aola
坳	aotl
翱	aobx
懊	aoxd
遨	aozw
鏖	aogj
欸	ais
欸	aisr
璦	aiwy
錒	aaj
錒	aajk
吖	aaky
啊	aakk
卬	ahp
卬	ahpe
嗌	aikm
砹	aiux
叆	aiey
锿	aij
锿	aijy
毐	aiuw
堨	aitv
埃	aitu
唵	ank
唵	ankd
埯	ant
犴	anqg
垵	antn
盦	anrm
聱	aofe
媼	aon
媼	aonm
璈	aow
璈	aoww
廒	aogw
岙	aoy
奡	aoa
奡	aoal
隩	aoe
隩	aoed
不	b
把	ba
吧	bak
八	bap
巴	bav
爸	bab
罷	bas
霸	bay
拔	baf
扒	bafb
壩	bat
芭	bac
叭	bakb
疤	babb
靶	bag
捌	bafd
耙	bal
跋	baz
粑	bam
鈀	baj
灞	bad
笆	bavb
鲅	baa
巴	basl
八	bapn
巴	bavv
罷	bass
霸	bayo
壩	batr
芭	bacb
靶	bagb
跋	bazd
鈀	bajb
灞	bado
鲅	baad
濱	bb
斌	bbw
賓	bbb
彬	bbm
鬢	bba
殯	bbd
繽	bbs
檳	bbmb
擯	bbf
臏	bbo
玢	bbwd
鑌	bbj
斌	bbwv
彬	bbmp
鬢	bbab
瀕	bbdr
繽	bbsb
擯	bbfb
臏	bbob
報	bc
包	bcb
寶	bcby
保	bcr
抱	bcf
爆	bch
暴	bco
薄	bcc
炮	bchs
堡	bcrt
曝	bcou
豹	bcv
飽	bcu
鮑	bca
煲	bcrh
剝	bce
剝	bced
刨	bcbd
瀑	bcd
胞	bcos
褒	bcw
葆	bccm
苞	bccs
孢	bczs
雹	bcy
趵	bcz
褓	bcp
包	bcbs
保	bcrm
抱	bcfs
薄	bccc
飽	bcus
鮑	bcas
褒	bcwy
雹	bcys
白	bd
百	bda
擺	bdf
拜	bdu
敗	bdk
柏	bdm
伯	bdrb
唄	bdkr
掰	bduu
佰	bdr
稗	bdh
捭	bdfu
百	bdab
擺	bdfs
敗	bdkw
柏	bdmb
本	bf
笨	bfv
奔	bfd
苯	bfc
本	bfaa
錛	bfj
本	bfa
奔	bfdc
坌	bfb
坌	bfbt
苯	bfcb
錛	bfjc
賁	bfur
蹦	bg
崩	bge
泵	bgu
甭	bgb
嘣	bgk
蹦	bgzo
繃	bgs
蚌	bgi
迸	bgz
崩	bgeo
甭	bgby
镚	bgj
镚	bgjo
嘣	bgko
繃	bgso
蚌	bgif
迸	bgzk
祊	bgp
祊	bgpf
幫	bh
彭	bhup
棒	bhm
榜	bhmf
邦	bhf
綁	bhs
磅	bhu
傍	bhr
鎊	bhj
蚌	bhi
浜	bhd
膀	bho
謗	bhy
梆	bhme
蒡	bhc
幫	bhfj
邦	bhfe
綁	bhse
鎊	bhjf
浜	bhdb
膀	bhof
謗	bhyf
蒡	bhcf
比	bi
必	bid
逼	bizt
筆	biv
箅	bivl
幣	bip
碧	biw
畢	bibu
彼	bii
避	biz
壁	biu
鼻	bizl
閉	bim
臂	biuo
弊	bidc
敝	bidw
斃	bib
蔽	bic
嗶	bik
俾	bir
婢	bin
痹	bibl
弼	bigg
庇	big
嗶	biku
匕	bipv
賁	biur
泌	bidb
吡	bikb
陛	bie
鉍	bij
篦	bivb
裨	bipu
蓖	bicb
篳	bivu
濞	bidl
紕	bis
荸	bicz
幣	bipj
彼	biiy
壁	biut
蔽	bicw
鄙	bike
婢	binu
陛	biet
紕	bisb
辦	bj
版	bjp
般	bjv
半	bjd
班	bjw
辦	bjld
板	bjm
搬	bjf
斑	bjww
伴	bjr
扮	bjfd
拌	bjfb
瓣	bjl
扳	bjfy
頒	bjb
坂	bjt
絆	bjs
阪	bje
鈑	bjjy
瘢	bjby
版	bjpy
伴	bjrb
頒	bjbr
絆	bjsb
并	bk
病	bkb
兵	bkq
冰	bkd
屏	bkuk
餅	bku
丙	bka
炳	bkh
秉	bkp
柄	bkm
稟	bkw
摒	bkf
邴	bkbe
病	bkbb
兵	bkqb
炳	bkhb
秉	bkpn
稟	bkwx
摒	bkfk
邊	bm
便	bmr
變	bmw
遍	bmz
編	bms
邊	bmzl
扁	bmh
鞭	bmg
貶	bmk
卞	bmdx
匾	bmkc
弁	bmsc
砭	bmu
汴	bmd
芐	bmc
鳊	bma
蝙	bmic
便	bmrg
變	bmwy
貶	bmkf
汴	bmdb
芐	bmcb
鳊	bmac
表	bn
標	bnm
婊	bnn
彪	bnh
飆	bnq
鏢	bnj
膘	bno
裱	bnp
驃	bnmx
彪	bnhp
飆	bnqx
膘	bnox
裱	bnpy
鑣	bnjh
撥	bo
波	bod
博	bou
伯	bor
薄	boc
撥	bofd
柏	bom
播	bof
卜	bol
泊	bodb
搏	bofc
剝	boe
勃	boul
駁	bomx
缽	bojb
簿	bovc
玻	bow
脖	booz
鉑	boj
蕃	boct
帛	bob
跛	boz
渤	bodl
鈸	bojd
菠	bocy
膊	boo
亳	bowq
舶	bovb
簸	bovy
擘	bouu
檗	boum
餑	bouz
礴	bouc
波	body
伯	borb
薄	bocc
柏	bomb
播	boft
剝	boed
玻	bowy
帛	bobj
跛	bozy
膊	booc
鲌	boa
箔	bov
別	bp
憋	bpd
鱉	bpda
癟	bpb
蹩	bpdr
別	bpkd
憋	bpdx
癟	bpbb
別	bpk
部	bu
不	bua
布	buu
補	bup
步	buv
堡	bur
不	buad
捕	buf
卟	bukb
簿	buvc
卜	bul
埠	but
钚	buj
埔	butf
怖	bux
哺	buk
逋	buz
步	buvp
堡	burt
怖	buxj
逋	buzf
被	bw
倍	bwr
北	bwl
背	bwlo
唄	bwk
被	bwpy
杯	bwm
貝	bwkr
悲	bwf
備	bww
輩	bwfi
臂	bwuo
碑	bwu
勃	bwul
卑	bwp
蓓	bwc
焙	bwh
悖	bwx
陂	bwe
鋇	bwj
狽	bwq
憊	bwwx
碚	bwuk
倍	bwrk
北	bwlb
悲	bwfx
備	bwwt
卑	bwpu
蓓	bwck
焙	bwhk
陂	bwey
鋇	bwjr
朳	bamb
犇	bfn
蓽	bic
睥	bio
睥	biou
薜	bicu
啵	bok
啵	boky
魃	bagd
菝	bacd
岜	bae
岜	baeb
妭	ban
妭	band
胈	bao
胈	baod
哱	bakz
羓	bayb
豳	bbe
豳	bbeu
髕	bbg
髕	bbgb
儐	bbr
儐	bbrb
邠	bbbe
枹	bcms
畚	bfs
栟	bfm
甏	bguw
堋	bgt
堋	bgto
琫	bgw
琫	bgwl
泵	bguu
玤	bhw
棓	bhmk
塝	bht
塝	bhtf
搒	bhff
潷	bidm
髀	bigu
秕	bih
妣	binb
畀	bit
畀	bitl
嬖	biun
愎	bix
赑	bikr
狴	biq
狴	biqt
坒	bibt
佖	birb
邲	bibe
诐	biy
珌	biwb
觱	bixy
觱	biwy
鲾	bia
鲾	biat
癍	bjbw
柈	bjmb
昄	bjoy
湴	bjdy
靽	bjgb
昺	bko
昺	bkob
蛃	bki
蛃	bkib
褊	bmp
忭	bmx
抃	bmf
抃	bmfb
碥	bmuc
昪	bmo
昪	bmoc
萹	bmcc
鰾	bna
鰾	bnax
颮	bnjs
杓	bnmu
俵	bnr
俵	bnry
瘭	bnb
瘭	bnbx
脿	bnoy
蔈	bnc
蔈	bncx
熛	bnhx
儦	bnrh
藨	bnch
鵓	boun
僰	boar
砵	boub
踣	bozk
哱	bokz
桲	bomz
鲌	boab
榑	bomc
嶓	boet
镈	bojc
馞	boh
馞	bohz
磻	bout
晡	buo
晡	buof
醭	buyn
蔀	buc
鐾	bwuj
庳	bwgu
椑	bwmu
糒	bwmy
蚆	baib
賓	bbbb
白	bdpo
倴	bfrc
坋	bftd
瀌	bndh
摽	bnfx
表	bnfy
袯	bopd
備	bw
才	c
擦	ca
嚓	cak
拆	caf
拆	cafi
嚓	cakx
擦	cafx
草	cc
操	ccf
曹	cca
槽	ccm
糙	ccmz
嘈	cck
漕	ccd
操	ccfm
曹	ccao
槽	ccmo
嘈	ccko
菜	cd
才	cda
踩	cdz
彩	cdpp
蔡	cdc
菜	cdcm
財	cdk
采	cdp
猜	cdq
材	cdm
裁	cdu
睬	cdo
才	cdap
踩	cdzm
蔡	cdcx
財	cdkc
猜	cdqo
裁	cduy
睬	cdom
偲	cdr
偲	cdrx
測	ce
側	cer
冊	cep
策	cev
柵	cem
測	cedd
廁	cei
惻	cex
側	cerd
冊	cepa
策	cevn
柵	cemc
廁	ceid
惻	cexd
測	ced
岑	cf
參	cfs
涔	cfd
參	cfsp
涔	cfdv
岑	cfev
岑	cfe
曾	cg
層	cgu
蹭	cgz
噌	cgk
層	cgus
曾	cgbo
蹭	cgzo
噌	cgko
曾	cgb
藏	ch
倉	chr
蒼	chc
艙	chv
滄	chd
傖	chrv
藏	chci
艙	chvv
滄	chdv
次	ci
此	civ
詞	ciy
刺	cia
賜	cik
慈	cib
茨	cic
辭	ciq
瓷	cid
磁	ciu
祠	cip
雌	civf
伺	cir
茲	ciby
疵	cibb
差	ciyg
糍	cim
鶿	cibn
此	civb
刺	ciad
賜	cikw
慈	cibx
茨	cicr
瓷	cidw
磁	ciuy
伺	cirk
糍	cimy
參	cj
殘	cjd
慘	cjx
餐	cjl
燦	cjh
參	cjsp
摻	cjf
蠶	cjt
慚	cjxj
璨	cjw
粲	cjlm
孱	cju
餐	cjll
摻	cjfp
璨	cjwm
孱	cjuz
錯	co
搓	cof
措	cofo
挫	coft
撮	cofy
錯	cojo
厝	coi
銼	coj
磋	coug
蹉	coz
痤	cob
嵯	coe
厝	coio
蹉	cozg
痤	cobt
嵯	coeg
莝	coc
竄	cr
攢	crf
躥	crz
篡	crv
攢	crfr
竄	crbi
躥	crzi
篡	crvs
竄	crb
從	cs
蔥	csc
叢	csr
聰	cse
琮	csw
從	csrr
淙	csd
匆	csb
樅	csmr
驄	csm
囪	csp
蔥	cscx
叢	csra
聰	csex
淙	csdx
驄	csmx
囪	cspw
粗	cu
醋	cuy
促	cur
卒	cuw
簇	cuv
粗	cumq
蹙	cua
蹙	cuar
猝	cuq
蹴	cuz
醋	cuyo
促	curr
簇	cuvu
蹙	cuwr
猝	cuqu
蹴	cuzy
粗	cum
催	cv
崔	cve
翠	cvx
衰	cvwy
脆	cvo
催	cvrf
摧	cvf
萃	cvc
粹	cvm
淬	cvd
啐	cvk
璀	cvw
悴	cvxu
瘁	cvb
崔	cvef
脆	cvov
摧	cvff
粹	cvmu
淬	cvdu
啐	cvku
瘁	cvbu
催	cvr
村	cy
存	cyu
寸	cya
皴	cys
忖	cyx
村	cymc
存	cyuz
寸	cyad
皴	cysy
忖	cyxc
村	cym
湊	cz
輳	czi
輳	czit
璁	cswx
螬	cci
螬	ccio
艚	ccv
艚	ccvo
嶒	cge
嶒	cgeo
玱	chw
玱	chwv
鸧	chrn
呲	cikb
跐	ciz
跐	cizb
茈	cicb
佽	cirr
泚	cidb
莿	cicd
黲	cjhp
驂	cjm
驂	cjmp
矬	cou
矬	cout
鹺	col
鹺	colg
措	coo
措	coof
脞	coot
瘥	cobg
莝	coct
酂	con
酂	cone
攛	crfi
镩	crj
爨	crp
爨	crph
汆	crr
蓯	cscr
熜	csh
悰	csx
悰	csxx
蔟	cuc
殂	cud
殂	cudq
徂	cui
徂	cuiq
酢	cuyv
榱	cvmy
崒	cveu
缞	cvs
缞	cvsy
漼	cvdf
邨	cyt
邨	cyte
腠	czo
腠	czot
草	cccu
玼	ciwb
瑳	cowg
湊	czdt
的	d
大	da
打	daf
達	daz
答	dav
垯	dat
搭	dafk
大	daun
噠	dak
嗒	dakk
沓	dau
瘩	dab
韃	dag
憚	dax
耷	dad
褡	dap
打	dafd
答	davk
沓	dauo
耷	dade
靼	dag
到	dc
道	dcz
倒	dcr
刀	dcv
島	dcp
到	dcad
導	dcs
盜	dcd
搗	dcf
稻	dch
叨	dck
悼	dcx
蹈	dczj
禱	dcpc
燾	dcfh
氘	dcq
倒	dcrd
刀	dcvp
島	dcpe
導	dcsc
搗	dcfe
叨	dckd
代	dd
帶	ddf
待	ddi
戴	ddu
呆	ddk
袋	ddry
貸	ddr
黛	ddrh
逮	ddz
歹	dda
岱	ddre
怠	dds
傣	ddru
殆	ddd
棣	ddm
大	ddun
詒	ddy
玳	ddw
待	ddic
戴	ddub
呆	ddkm
貸	ddrr
逮	ddzn
歹	ddax
怠	ddsx
棣	ddmn
詒	ddyk
埭	ddtn
玳	ddwy
得	de
地	det
德	dei
地	dety
得	deic
德	deix
等	dg
燈	dgh
鄧	dgy
登	dgv
瞪	dgo
蹬	dgz
凳	dgvj
噔	dgk
鐙	dgja
嶝	dge
磴	dgu
燈	dghd
鄧	dgye
登	dgva
瞪	dgoa
澄	dgd
蹬	dgza
噔	dgka
嶝	dgea
磴	dgua
當	dh
黨	dhx
檔	dhm
擋	dhf
蕩	dhc
當	dhxe
鐺	dhj
襠	dhp
凼	dhu
宕	dhb
讜	dhy
碭	dhup
菪	dhcu
擋	dhfe
蕩	dhcp
鐺	dhje
襠	dhpe
凼	dhuk
垱	dht
垱	dhte
地	di
第	div
滴	didk
低	dir
底	dig
地	dity
帝	diw
迪	dizy
弟	dib
敵	diq
嘀	dik
蒂	dic
抵	dif
遞	diz
狄	diqh
笛	divy
堤	dit
娣	dinp
諦	diy
滌	did
邸	dide
荻	dich
嫡	din
棣	dim
氐	diu
締	dis
骶	digd
砥	diud
鏑	dij
坻	ditd
詆	diyd
碲	diuj
提	difr
第	divp
低	dird
弟	dibp
敵	diqw
嘀	dikk
蒂	dicj
抵	difd
遞	dizp
翟	dixf
堤	ditr
嫡	dink
棣	dimn
?	dii
鏑	dijk
但	dj
單	djb
疸	djb
蛋	djv
丹	djp
淡	djd
但	djrd
膽	djo
彈	djg
擔	djf
旦	djoa
氮	djq
儋	djr
誕	djy
啖	djk
耽	dje
撣	djfl
石	dja
膻	djod
憚	djx
殫	djdl
鄲	djbe
眈	djov
石	djak
丹	djpa
氮	djqh
儋	djrk
耽	djev
定	dk
頂	dkd
丁	dka
鼎	dkov
訂	dky
定	dkbr
叮	dkk
釘	dkj
盯	dko
町	dkt
腚	dkor
錠	dkjr
啶	dkkr
碇	dku
酊	dkyd
仃	dkr
鋌	dkjz
丁	dkal
叮	dkkd
釘	dkjd
盯	dkod
町	dktd
碇	dkur
仃	dkrd
點	dm
店	dmg
電	dml
殿	dmu
點	dmlh
典	dmlb
墊	dmf
碘	dmub
滇	dmd
奠	dmbd
甸	dmbt
掂	dmfk
癲	dmb
巔	dme
淀	dmdr
惦	dmx
鈿	dmj
踮	dmz
佃	dmr
靛	dmfr
玷	dmw
癜	dmby
店	dmgk
電	dmlv
顛	dmur
墊	dmft
滇	dmdb
癲	dmbr
巔	dmer
鈿	dmjt
踮	dmzk
佃	dmrt
玷	dmwk
調	dn
掉	dnf
吊	dnk
叼	dnkd
釣	dnj
調	dnyk
鳥	dnw
鳥	dnp
刁	dnv
貂	dnvk
凋	dnd
碉	dnuk
鳥	dnwd
鳥	dnpa
鯛	dna
雕	dnkf
掉	dnfu
吊	dnkj
鯛	dnak
多	do
奪	dod
躲	dou
朵	doj
隋	doeo
剁	dojd
墮	doe
馱	dom
度	dog
舵	dov
哆	dokx
鐸	dojl
跺	doz
垛	dot
踱	dozy
惰	dox
咄	dok
掇	dof
柁	domb
度	dogy
躲	doum
墮	doet
舵	dovb
跺	dozm
惰	doxo
咄	doki
掇	dofy
跌	dp
爹	dpb
蝶	dpi
碟	dpu
疊	dpy
跌	dpzu
諜	dpym
迭	dpz
佚	dpr
牒	dpp
喋	dpk
耋	dpl
爹	dpbx
蝶	dpim
碟	dpum
疊	dpyq
喋	dpkm
耋	dplt
丟	dq
丟	dqp
丟	dqps
段	dr
短	dru
斷	drm
端	drl
鍛	drj
緞	drs
煅	drh
椴	drmy
短	drua
鍛	drjy
緞	drsy
塅	drt
塅	drty
動	ds
東	dsa
洞	dsd
懂	dsx
董	dsc
動	dsel
冬	dsw
棟	dsm
凍	dsdd
咚	dsk
侗	dsr
峒	dse
氡	dsq
垌	dst
硐	dsu
恫	dsxk
胴	dso
東	dsad
洞	dsdk
懂	dsxv
董	dscv
冬	dswd
侗	dsrk
峒	dsek
氡	dsqd
硐	dsuk
胴	dsok
讀	du
度	dug
毒	duf
杜	dum
都	dul
獨	duq
賭	duk
渡	dud
堵	dut
肚	duo
嘟	duke
督	duu
睹	duoo
篤	duv
妒	dun
鍍	duj
瀆	dudd
犢	dund
牘	dup
櫝	dumd
讀	duy
毒	dufm
