aaaa	啊啊啊
bmjm	白明胶酶
bmux	拜命时人羡
bmxy	拜命宣皇猷
bmeu	拜命已挺身
bdmo	白沫
bmif	摆磨出火以自燔
bmuu	百沫舒
bmtk	佰莫亭
bmqj	百谋千计
bomu	柏木
bmda	百慕大
bmdd	百慕大群岛
bmdj	百慕大三角
bme	白木耳
bmtx	柏木萜烯
bdna	百衲
bnbf	百衲本
bnlx	百衲老寒暄
bnll	百衲老空林
bnli	柏纳力
bnei	百衲衣
bntk	白内停
bnty	白内停滴眼液
bnvh	白内障
bnvv	白内障毛细血管扩张色素综合征
bnvv	白内障蜘蛛样指小颌综合征
bdnf	白嫩
bdnm	拜年
bdnm	百年
bnak	百年哀乐又归空
bnbl	百年不敢料
bnbm	百年不遣踏君门
bnbx	百年不容息
bnby	百年不遇
bnir	百年长扰扰
bniq	百年愁半侵
bniu	百年垂死中兴时
bncu	百年从万事
bncc	百年粗粝腐儒餐
bndj	百年大计
bndy	百年大业
bndj	百年地辟柴门迥
bndt	百年多病独登台
bndj	百年多在别离间
bnfg	拜年封
bnfd	百年赋命定
bngs	百年甘守素
bngk	百年歌自苦
bnhh	百年好合
bnhu	百年好事
bnhd	百年何足度
bnhw	百年怀土望
bnhh	百年欢乐能几何
bnhz	百年浑得醉
bnhk	百年浑是客
bnjt	百年几度三台
bnxm	百年见存殁
bnqe	百年将半仕三已
bnjh	百念皆灰
bnjb	百年嗟已半
bnkj	百年看似暂时间
bnkm	百年苦易满
bnlm	百年老鸮成木魅
bnlp	百年乐芒果止咳片
bnll	百年离别在高楼
bnny	百年难遇
bnnh	百年能几何
bnnu	百年能几时
bnpu	百年飘若水
bnql	百年去心虑
bnsi	百年三万六千朝
bnsr	百年三万六千日
bnsr	百年三万日
bnub	百年盛衰谁能保
bnub	百年世事不胜悲
bnur	百年树人
bnub	百年双白鬓
bnss	百年死树中琴瑟
bnsl	百年随分了
bntw	百年同弃物
bntr	百年同谢西山日
bnwb	百年未见欢娱毕
bnws	百年未满不得死
bnxl	百年偕老
bnxl	百年谐老
bnxl	百年心不料
bnxg	百年玄灵龟
bnyb	百年夜销半
bneb	百年已过半
bnyi	百年犹崇晨
bnyq	百年郁郁少腾迁
bnvb	百年之柄
bnvh	百年之好
bnvh	百年之后
bnvy	百年之业
bnvy	百年之约
bnvj	白念珠菌
bnz	白娘子
bdbi	百鸟不敢嗔
bdif	百鸟朝凤
bdgm	百鸟各相命
bdlj	白鸟凌风迥
bdml	白鸟没寒流
bdqm	白鸟去边明
bdqq	白鸟群飞山半晴
bduh	白鸟上衣桁
bdxm	白鸟戏葱蒙
bdxf	白鸟下公府
bdxv	白鸟闲栖亭树枝
bdxj	白鸟衔鱼上钓矶
bdxj	白鸟向田尽
bdxe	白鸟相因依
bdxe	百鸟喧喧噪一鹗
bdyx	白鸟悠悠下
bdvm	百鸟争鸣
bdvq	百鸟之智莫与齐
bdnk	百宁
bnij	白牛车远近
bdls	摆弄
bdnu	白奴
bobu	白鸥不羁束
bobu	白鸥不相识
bohh	白鸥和柳花
bolx	白鸥历乱长飞雪
bomd	白鸥没浩荡
boxl	白鸥兮飞来
boxq	白鸥闲不去
boyd	白鸥渔父徒相待
boyx	白鸥与我心
boys	白鸥元水宿
bdpj	白胖
bdpi	百辟
bpbu	百辟拜稽首
bpjv	百辟皆醉止
bplr	百辟联行挹大儒
bpmj	百辟莫不惧
bpuu	白皮书
bpss	白皮松
bpsy	百辟随天游
bptl	百辟同康乐
bpyu	百辟腰饰
bdpn	拜票
bpiw	白蘋愁杀白头翁
bpiy	白蘋楚水三湘远
bpil	白蘋春尽花空落
bpfo	白蘋风起水生文
bpmv	白蘋满芳洲
bpqt	百品千条
bpeb	白蘋已堪把
bdp	摆平
bdpu	摆谱
bper	摆谱儿
bphl	白蒲黄
bphn	白蒲黄胶囊
bphp	白蒲黄片
bpli	百普力
bpnj	白葡奈氏菌
bpnp	白葡奈氏菌片
bpsu	百普素
bptj	白葡萄球菌
bptf	白葡萄球菌粉
bptp	白葡萄球菌片
bdqi	白旗
bdqi	百崎
bqdj	百骑带櫜鞬
bqhx	百崎回族乡
bjke	白奇克
bqty	白鳍豚
bqxf	白气宵飞
bqvz	白起真成一竖子
bqzw	白起佐军威
bdqm	白前
bqix	百钱酬下乡
bqjb	拜潜君兮索玄宝
bqxk	百钱携赏丝桐客
bqiq	百巧成穷
bqqq	百巧千穷
bqbu	柏寝闭何时
bqgp	拜亲归海畔
bqhb	柏寝寒芜变
bqbt	百请不颔头
bqii	拜庆承天宠
bqfu	百顷风潭上
bqpa	百顷平若案
bqqm	百顷青云杪
bqss	拜庆遂及私
bqww	白清胃
bqws	白清胃散
bqen	白求恩
bqei	白求恩医科大学制药厂
bqei	白求恩医科大学制药厂二分厂
bdqu	白区
bqcd	白屈菜
bqcj	白屈菜碱
bqgx	白朐过隙
bdqr	拜泉
bqab	百泉暗奔瀑
bqfu	百犬吠声
bqfu	白犬吠猿声
bqlf	白犬离村吠
bque	白犬舐客衣
bqud	百泉势相荡
bqxm	拜泉县
bqym	百泉萦草木
bqyv	白犬游仙术
bqvf	拜泉镇
bqan	白雀胺
bqtp	拜阙贪摇佩
bqzt	拜阙奏良图
brid	白髯垂策短
bdrc	白饶
bdre	白热
brhx	白热化
brly	白热烈焰
bdrf	白人
bdrf	白刃
brbq	白刃报私仇
brio	百忍成金
brie	白刃雠不义
brqy	白刃仇一言
brdj	百仞登嵬岌
brhy	百人会中身不预
brhz	百人会中一身在
brlx	白刃两相向
brqp	白刃千夫辟
brsx	白刃洒赤血
bryx	白刃耀素雪
bryj	柏人以为诫
bryu	柏人以为识
brvj	白刃战
brzb	白刃纵横逼
bdrg	百礽
bdri	白日
brad	白日黯已低
brag	白日暗榆关
brbh	白日变幽晦
brbi	白日不照吾精诚
briv	白日长悬照
bric	白日沉光彩
brig	白日持角弓
brcf	白日崒罕峰
brdx	白日当天心
brdh	白日到羲皇
brdh	白日登山望烽火
brdx	白日递隐见
brdf	白日凋华发
brfj	白日放歌须纵酒
brfu	白日飞升
brfj	白日分明到世间
brfk	白日浮云闭不开
brhd	白日何短短
brhi	白日忽西沉
brhi	白日忽西驰
brhm	白日忽西暮
brhj	白日忽先尽
brhc	白日忽相催
brhw	白日忽欲晚
brhv	白日忽再中
brhh	白日黄云昏
brjm	白日既云暮
brxx	白日见飞锡
brxg	白日见鬼
brjh	白日扃泉户
brjj	白日啾嘲祸万机
brjl	白日俱终老
brkh	白日开氛昏
brke	百日咳
brkm	百日咳白喉破伤风联合疫苗
brks	百日咳毒素
brkl	白日可抚弄
brkm	百日咳菌苗
brkp	百日咳片
brkf	白日空山梵
brld	白日来深殿
brlv	白日雷霆夹城仗
brly	白日丽南隅
brlw	白日离尊晚
brlh	白日敛精华
brlx	白日轮轻落海西
brlt	白日落草头
brlu	白日落寒水
brli	白日落何处
brlm	白日落昆明
brlh	白日落西海
brlq	白日屡徂迁
brlu	白日屡分手
brlf	百日屡迁随倚伏
brlq	白日屡颓迁
brmg	白日每不归
brmg	白日梦
brmd	白日渺难睹
brng	白日难回光
brnt	白日霓旌拥上天
brnr	白日暖
brpa	白日破昏霭
brqy	白日欺红颜
brqm	白日淇上没
brjl	白日期偕老
brqd	白日青山宫殿多
brqt	白日青天
brqv	白日球猎夜拥掷
brqp	白日秋天忆鼓鼙
brqb	白日去回标
brqi	白日全含朱鸟窗
brrv	白日如分照
brry	白日如披颜
bruu	白日上升
bruc	白日沈光彩
brut	白日升天
bruj	白日双流静
brsk	白日思云空
brsm	白日所没
brts	白日天居肃
brtu	白日同流水
brwi	白日为我愁
brwx	百日维新
brwh	白日为之寒
brwb	白日卧多娇似病
brwx	白日屋檐下
brxd	白日兮将短
brxq	白日惜颓侵
brxj	白日下广津
brxl	白日下昆仑
brxm	白日向西没
brhm	白日行欲暮
brxe	白日绣衣
brxm	白日悬高名
brxp	白日寻思夜梦频
bryh	白日掩徂辉
bryd	白日眼看低
bryw	白日曜紫微
bryv	白日夜随舟
brex	白日移歌袖
brem	白日亦寂寞
brev	白日亦偏照
brej	白日依山尽
brem	白日已西暝
brex	白日衣绣
brym	白日隐天末
bryy	白日隐西隅
bryq	白日犹不起
bryw	白日又欲午
bryx	白日有馀馨
bryh	白日欲落红尘昏
bryo	白日与明月
brym	白日原上没
brzt	白日在高天
brvc	白日照绿草
brvm	白日照执袂
brvu	白日照舟师
brvw	白日钟边晚
brvq	白日重轮庆
brvs	白日终天速
brvl	白日撞
brzq	白日自凄清
brzt	白日自中吐
brzm	白日作梦
brzm	白日做梦
brzw	白日坐上倾天维
brvk	白绒止咳
brvj	白绒止咳糖浆
bdrz	白肉
bdrv	百蕊
brbu	拜瑞巴克大使
brcc	百蕊草
brhp	百蕊含片
brjn	百蕊胶囊
brpm	百蕊片
bdry	白润
brbx	白若白鹭鲜
bsno	百赛诺
bszv	白塞综合征
bsxt	白三烯受体
bdsc	拜扫
bdud	白色
bdud	百色
buij	白色虫胶
budq	百色地区
buhv	白色海绵状斑痣
buhu	白色婚纱
buji	白色肌
bujd	白色机械陆行鸟
bukv	白色糠疹
bukb	白色恐怖
bumb	白色毛结节菌病
bumq	白色毛绒裙
bume	白色冒险者衬衣
bupq	白色喷漆
bupk	白色皮夹克
bupp	白色皮片
bupi	白色皮片排斥
bupx	白色皮片缺血
bujv	白色强盗面罩
buux	白色射线
buui	百色市
buuv	白色水肿
buti	白色体
buws	白色萎缩
buwr	白色污染
buxm	百色县
buxu	白色血栓
buxl	白色迅猛龙
buyp	白色亚麻长袍
buye	白色亚麻衬衣
buyu	白色烟花束
buvy	白色治愈
bdua	白沙
bdua	白痧
bucm	白沙翠竹江村暮
bugu	白沙岗哨
bujs	白沙江草麹尘丝
bulx	白沙黎族自治县
bulo	白沙连晓月
bulu	白沙留月色
buqn	白沙青石先无泥
busj	白痧散
butj	白沙糖浆
buts	白沙亭上逢吴叟
buwa	白沙瓦
buxm	白沙县
buzn	白沙在涅
buzh	白沙在涅与之俱黑
buvi	白沙洲上江蓠长
bduj	白山
bduj	白鳝
buhu	白山黑水
bumx	白衫眠古巷
buui	白山市
buus	白山市长白山制药有限责任公司
buob	白山羊
buyt	白山云芝多糖
buvf	白山镇
budo	百尚度
bduc	白芍
buzg	白芍总苷
buzn	白芍总苷胶囊
bdue	摆设
buvj	百舍重茧
buvj	百舍重趼
buiy	百舌春来哑
bedi	白蛇登其巢
bue	拜舍尔
bufn	白社风霜惊暮年
buhz	白社会中尝共醉
bujr	白社静逢人
buli	百舌来何处
bumu	百舌鸣高树
bulp	百舌弄何频
butl	白社陶元亮
butz	白社同游在
buwj	百舌闻他郡
buwt	百舌五更头
buyh	百舌犹来上苑花
buyy	百舌欲无语
buvu	百舌之声
bdcj	白参
buit	百神朝帝台
budz	拜神得寿献天子
bugy	白身过河阳
buhu	百身何赎
bumu	百身莫赎
buyv	白身谒明主
buyt	百身一莓苔
buhm	白生胡雏控龙媒
bujk	百生肼
buug	白生生
bumr	百生无此日
bdui	拜师
bdui	白事
bddj	白石
bdui	白蚀
bdei	白食
bdui	百世
bdal	百十
bubm	百世不磨
bube	百世不易
budj	百事大吉
bddr	白石洞中人
bvgc	柏氏功弥存
buht	百事亨通
bujx	百事皆成昔
bdjm	白石今出没
bukl	百事可乐
bulf	百世流芳
bulf	百世流芬
bdmb	白石明可把
bdpd	白石盘盘磴
bdqr	白石清热
bdql	白石清热颗粒
bvrg	百氏若珠贯
buui	百世师
bdsd	白石素沙亦相荡
butu	白是太湖水
butj	白事廷吏简
buts	百事通
butu	百世同一伤
buwj	白蚀丸
buwn	百事谓己能
buwc	百事委令才
bumi	百事无成
bumh	百事无留到官后
bdxg	白石先生眉发光
bdxm	白石橡木
buxb	百士欣
bdyh	白石颜色寒
buyr	百世一人
buyy	败事有余
buyz	败事有余成事不足
buvl	百世之利
buvu	百世之师
buzw	百事资朝问
bduz	拜寿
bduz	摆手
bduz	白手
bduz	白首
bduz	百兽
bubm	白首北面
bubi	白首别秦川
bubq	白首不相弃
buby	白首不渝
bucv	白首沧浪空自知
buck	白首沧洲客
buiy	拜受长年药
buis	白首长相思
buij	白手成家
buiw	白首愁相误
buiw	白首垂钓翁
buiw	白首垂丝恨不遗
buix	拜首春郊夕
bucg	拜手辞上官
bucu	白首辞同舍
bucy	白首此为渔
bucj	白首辞知己
buck	白首从戎客
budg	白首到微官
budu	白首独一身
buda	白首独馀哀
budu	白首对秋衰
budv	白首对汀洲
budj	白首多年疾
bufv	白首翻令忆建章
bugk	白首甘契阔
bugq	白首更辞亲
bugg	白首过萧关
buhy	白首汉川阴
buhl	白首汉廷刀笔吏
buhg	白首何年改
buhr	白首还家有几人
buhu	百首荒辞义亦深
buji	百兽集
bujj	白首寄人间
bujv	拜手卷黄纸
bukj	白首看长剑
bukx	白首看黄叶
bukg	白首空归
bukq	白手空拳
buli	白首泪双垂
buli	拜手落花春
bumb	白首没三边
bumd	拜手明光殿
buml	拜手明庭里
bunn	白首南朝女
bupg	拜手蓬莱宫
bupc	白首扁舟病独存
buqj	白手起家
buqm	白首齐眉
buqx	白首契逾新
buqb	白首亲友并
buqj	白首穷经
buqg	白首缺辉光
buri	白首入秦城
burx	白首如新
burm	拜首入辕门
busq	白首飒凄其
buul	白首尚为郎
buui	拜受圣恩崇
buur	白首书窗成巨儒
buuu	拜首书诸绅
bulw	百兽率舞
busd	白首思归归不得
busq	白首死罗绮
busi	拜手颂灵长
butj	白首太玄经
butg	白首同归
butg	白首同所归
buto	白首徒攻文
buwd	百兽望风低
buwt	白首望霜天
buwk	白首未登科
buwh	白首未封侯
buwl	白首为郎
buwq	白首为儒身被轻
buwx	白首为谁雄
buwu	百兽为我膳
buwy	白首卧松云
buwu	白首乌
buml	白首无人怜
bumx	白首无由见
bums	白首无子孙
buxy	白首下帷复何益
buxj	白首衔悲亦何及
buxu	白首闲看太史书
buxt	白首衔冤欲问天
buxp	白首相逢话鼓鼙
buxh	白首相逢征战后
buxi	白首向沙场
buxv	白首相知
buxj	白首相知犹按剑
buxv	白首相庄
buxd	百兽谐金石
buxt	百兽协丝桐
buxj	白手兴家
buyj	白首一节
buyu	白首一先生
buyn	白首遇艰难
buyl	白首羽林郎
buyl	白首远相怜
buvy	拜首直城阴
buvx	白首之心
buvi	拜手终凄怆
buvu	白首中原上
buvw	白首壮心违
bouu	柏树
bduu	白薯
bulb	柏树林
buqz	柏署起三载
burl	柏树荣新垄
buuh	柏树双双行
buem	拜疏移閤门
buyz	白树油
buvy	百树真油
bdul	白霜
bduv	白水
bubi	白水遍沟塍
budk	白水到初阔
budy	白水东悠悠
bufq	白水浮佳气
bufm	白水浮香墨
buhm	白水昏漠漠
buxv	白水见舅氏
bujx	白水鉴心
bujz	白水晶坠子
bukx	白水可洗心
bulm	白水连天暮
buli	白水流园池
bumw	白水明田外
bumv	白水明汀洲
buml	白水暮东流
bulo	白水弄素月
buqi	白水青山空复春
buri	白水绕东城
burj	白水入禅境
buud	白水生迢递
buxm	白水县
buxg	白水兴汉光
buxj	白水巡前迹
buyl	白水扬寒流
bueb	白水已扬波
buyk	白水鱼竿客
buyd	白水雨偏多
buvj	白水真人居
buzl	白水作禅流
bube	百顺百依
buqs	百顺千随
bsbj	百思不得其解
bsbj	百思不解
bsib	百司诚有庇
bsfh	百祀发光辉
bskb	拜斯肯特血红蛋白
bsmk	拜斯明
bsmj	百思莫解
bsyu	百死一生
bsht	白叟黄童
bdsu	白苏
bdsu	败诉
bsuf	败俗伤风
bsuh	败俗伤化
bscr	百岁曾无百岁人
bskh	百岁空挥霍
bslt	百岁老翁不种田
bslt	百岁落半途
bsls	百岁屡分散
bsmy	百岁名大约
bsqq	百岁千秋
bsrk	百岁如风狂
bsux	百岁身心几日闲
bsxl	百岁香
bsvh	百岁之好
bsvh	百岁之后
bsvm	百岁之盟
bdta	白塔
btqu	白塔区
bdtd	摆台
btbq	百泰百服轻
btjl	柏台简行李
btnl	柏台年未老
btqm	柏台迁鸟茂
btur	柏台霜威寒逼人
bdtj	摆摊
bter	摆摊儿
btqn	拜坛群寇疑
btz	摆摊子
bdth	拜堂
bdth	白汤
bdth	白糖
btpg	拜唐苹
bttu	白陶土
bttj	白陶土果胶混悬剂
btsi	拜特斯
btxi	白特喜
btvy	百特制药
bthu	白藤湖
bttz	白藤头
bdti	白体
bdti	白蹄
bdtm	白天
btde	拜天地
btee	白天鹅
btxl	白田见楚老
btxg	白天见鬼
btmy	白田马上闻莺
btsf	白天碎碎堕琼芳
btes	白田已缫丝
bdtn	白条
btz	白条子
bdtp	白铁
btpx	白铁皮
bdtk	白厅
bdts	白铜
bdtz	白头
btbl	白头悲作吏
btbv	白头不终
btdl	白头到老
btex	白头而新
btgz	白头宫女在
btgy	白头供宴语
btgl	白头官舍里
bthw	白头还作尉
btli	白头浪里出湓城
btlg	白头老罢舞复歌
btlu	白头老尹三川上
btle	白头乱发垂过耳
btqf	白头趋幕府
btql	白头趋走里
btry	白头仍作功曹掾
btrx	白头如新
btsd	白头搔更短
btul	白头生远浪
btuu	白头使我忧家事
btug	白头拾遗徒步归
btuf	白头授简焉能赋
btsx	白头苏武天山雪
btsc	白头虽老赤心存
btwg	白头翁
btwl	白头翁止痢
btwp	白头翁止痢片
btmz	白头无藉在
btmz	白头无侍子
btxh	白头仙人隐玉壶
btxb	白头相并
btxu	白头相守
btxl	白头偕老
btys	白头厌伴渔人宿
btwz	白头遗恨在
btyi	白头吟望苦低垂
btvt	白头之叹
btvr	白头重到一凄然
bdtu	白兔
btiw	白兔赤乌
btdi	白兔捣药成
btdi	白兔捣药秋复春
btfg	白秃风
btpx	白兔皮靴
btuj	白团扇
btwp	白团为我破
bdtv	败退
bdto	拜托
bdto	摆脱
bdto	白托
bdmo	百万
bmvr	百万传深入
bmft	百万伏特
bmfw	百万富翁
bmgi	百万攻一城
bmhy	百万化为鱼
bmmv	百万买宅
bmml	百万买宅千万买邻
bmwb	百万未可傍
bmxb	百万雄兵
bmxu	百万雄师
bmyj	百万一时尽
bmyw	百万犹在握
bmvh	百万逐呼韩
bdwh	拜望
bdwh	败亡
bwfb	败亡非赤壁
bwhl	白往黑来
bwqg	百王岂殊轨
bdww	白薇
bweh	拜韦二氏微生物氧化
bwha	百为哈
bwjy	白卫军
bwut	百味失苦甜
bwtj	百为坦
bwtl	拜为童子郎
beyt	摆尾摇头
bdob	白文
bwbx	百闻不如一见
bwby	百问不厌
bdwu	白雾
bdwu	百物
bwbr	白屋抱关人
bwbr	白屋被深仁
bmih	白无常
bwdg	白屋达公宫
bwfv	白屋藩魏主
bwhk	白屋寒多暖始开
bwhm	白屋寒门
bwhl	白屋忽为邻
bwhl	白屋花开里
bwjm	白屋渐看秋草没
bwjn	拜物教
bmjj	百无禁忌
bwkl	白钨矿
bmll	百无聊赖
bwlu	白屋留孤树
bwmh	白雾埋阴壑
bwnl	白屋难久留
bwqh	拜舞清心魂
bmui	百无是处
bmsi	百无所成
bwtu	白雾铁衣湿
bmyi	百无一成
bmyk	百无一堪
bmyn	百无一能
bmyu	百无一失
bmyu	百无一是
bmyy	百无一用
bwyl	拜舞银钩落
bwyu	拜舞有衣声
bwyq	白雾鱼龙气
bwvu	白屋之士
bwvd	白雾之石
bwvj	白雾之石级
bdxi	白皙
bdxi	百戏
bxbc	白细胞
bxbl	白细胞隔离
bxby	白细胞功能相关抗原
bxby	白细胞共同抗原
bxbs	白细胞间介素
bxbt	白细胞间介素受体
bxbj	白细胞间介素受体拮抗剂
bxbs	白细胞介素
bxbf	白细胞介素疗法
bxbt	白细胞介素受体
bxbw	白细胞介素受体部位
bxbm	白细胞介素转换酶
bxbt	白细胞聚集体
bxby	白细胞抗原
bxbx	白细胞抗原配型
bxbb	白细胞抗原相同同胞
bxbf	白细胞磷酸葡萄糖脱氢酶缺乏
bxby	白细胞粘着反应
bxbs	白细胞凝集素
bxbx	白细胞三烯
bxby	白细胞条件培养液
bxbs	白细胞调节素
bxbz	白细胞移动抑制因子
bxbz	白细胞抑制因子
bxbb	白细胞粘连蛋白
bxbw	白细胞粘连受体部位
bxil	百戏骋鱼龙
bxfx	白皙风流似有须
bxgz	白皙歌童子
bxhq	百戏后歌樵
bxur	白皙少年人
bxws	白皙吴王孙
bxyu	白皙玉为身
bdxx	白下
bxbq	百下百全
bxbv	百下百着
bxqu	白下区
bdxm	摆线
bdxm	白线
bdxm	白鹇
bxbj	白鹇白如锦
bxbo	摆线波
bxie	白鹇愁慕刷毛衣
bxid	白鹇处处聚沙堤
bxfu	百仙妇炎清栓
bxjy	摆线聚焦质谱仪
bxpx	白藓皮
bxpx	白鲜皮
bxuj	白线疝
boxl	柏乡
bdxl	白相
bdxl	白箱
bxbm	百祥奔盛明
bxcu	白箱测试
bxxm	柏乡县
bxan	白消安
bxap	白消安片
bxay	白消安注射液
bxbj	百消斑
bxdj	百效丹
bxdj	百消丹
bxgc	百消膏
bxhj	白消耗周期
bxkz	白小口
bxlk	百消灵
bxqm	白小群分命
bxwj	百效丸
bxxj	百晓星君
bdxp	拜谢
bdxp	败谢
bxug	白血生
bxts	拜新同
bxob	拜新月
bdxk	百姓
bdxk	败兴
bxbo	百星不如一月
bxeg	败兴而归
bxmy	百姓免为鱼
bxpm	白杏片
bxrl	百姓日支离
bdxs	白熊
bxqo	摆袖却金
bdxu	白须
bdxu	败絮
bxqv	败絮其中
bxti	白须太守亦何痴
bxzu	白须宗孙侍坐时
bdxr	白炫
bdxr	白癣
bxxr	百癣夏塔热
bxxn	百癣夏塔热胶囊
bxxp	百癣夏塔热片
bdxt	白雪
bxaa	白雪皑皑
bxbp	白雪避花繁
bxbk	白血病
bxbk	败血病
bxbd	白血病病毒
bxbx	白血病病毒型
bxbt	白血病淋巴瘤病毒型抗体
bxby	白血病淋巴瘤病毒型抗原
bxiy	白雪耻容颜
bxfq	白雪飞成曲
bxfm	白雪飞花乱人目
bxgj	白雪高吟际
bxgl	白雪歌偏丽
bxgv	白雪公主
bxgy	白雪关山远
bxhn	白雪和诚难
bxhi	白雪和难成
bxhq	白雪和难牵
bxhd	白雪花繁空扑地
bxjq	白雪缄郢曲
bxlq	白雪梁山曲
bxlu	白雪乱纤手
bxmi	白雪梅花处处吹
bxnh	白雪难和
bxnt	白雪难同调
bxpl	白雪飘辞律
bxqq	白血球
bxtd	白雪调高歌不得
bxyw	白雪燕姬舞
bxyi	白雪阳春
bxyi	白雪拥沙城
bxvs	白雪乍回散
bxvg	败血症
bxvc	白雪正如此
bxvu	白雪装梅树
bdyj	摆宴
bdyj	白烟
bdyj	白眼
bybl	拜言不得留
bycl	白雁从中来
bygy	败堰过游鱼
byhu	白烟横海戍
byjk	百炎净
bykr	白眼看他世上人
bylh	白眼狼
bylw	白眼狼王
byld	白雁落云端
bymx	白雁暮冲雪
byrp	白燕瑞书频
byuq	白盐山下蜀江清
byuf	白雁上林飞
bysf	柏偃松頫势自分
bywb	白盐危峤北
byxk	白眼相看
byxq	白眼向人多意气
byyf	白雁犹飞翻
byvu	白眼珠
bdyh	白杨
bybr	白杨别屋鬼迷人
bydm	白洋淀
byjb	白杨今日几人悲
byqu	白杨青松葬者谁
byqk	白杨秋月苦
bysx	白杨骚屑
byax	白杨十字巷
byuu	白杨树
byuh	白杨双行行
byxg	百痒消乳膏
byxk	白杨萧萧悲故柯
byz	摆样子
bozo	白羊座
bdyc	白药
byjn	白药胶囊
bysj	白药散
byz	白药子
bdye	拜谒
bdye	白夜
bdye	百业
bdxp	百叶
bdxp	败叶
bxix	柏叶初齐养麝香
bxil	百叶窗
byud	白也诗无敌
bxtg	百叶桃花树红
bxmb	柏叶万年杯
bxxl	百叶箱
byxh	败也萧何
byxt	百业萧条
byxk	百夜星
bxxc	柏叶幸加餐
bxyq	柏叶犹霜气
byox	白夜月休弦
bdyi	佰奕
bdei	佰易
bdei	白翳
bdyi	白蚁
bdei	白衣
bebc	百依百从
bebu	百依百顺
bebs	百依百随
bebs	百衣百随
becg	白衣苍狗
bycv	拜揖曹与周
byic	白蚁巢
byin	白蚁巢胶囊
bygl	拜揖高堂里
begq	白衣公卿
byhk	百镒黄金空
beln	白衣来几年
bylw	白蚁类
beqi	白衣千万乘
byqn	百亿清甘宁
byqo	百镒罄黄金
beqx	白衣卿相
byrn	百益软胶囊
beub	白衣尚书何可比
betu	白衣天使
byts	白蚁桶
bexu	白衣携壶觞
bexu	白衣秀士
byyy	百亿亿分之一
bezx	白衣宰相
bevu	白衣战士
byvw	白益镇惊丸
byvx	白蚁争穴
bdyb	白银
bdyb	败因
byig	白银长刀刀格
byis	白银长杆接榫
bydb	白银短刃柄
bygy	白银股甲合页
bygu	白银棍棒护手
byhs	白银护身锁
byhy	白银踝甲合页
byjy	白银肩甲合页
bymb	白银矛柄
bymy	白银面罩合页
byqu	白银区
byui	白银市
byuu	白银书
byul	白银双阙恋
bymi	白银万能钥匙
byxy	白银袖甲合页
byvy	白银之手成员
bdyk	白英
bybq	拜迎白鹿前
bygs	拜迎官长心欲碎
bylt	白鹰来自海东头
byml	拜迎弥道路
boyz	柏油
bybf	百忧变华发
byfl	百忧纷在虑
byfx	百忧复相袭
byjp	百优解
byju	百忧今已失
bylu	柏油路
byvu	百忧钟一身
bdyu	白玉
bycn	白羽曾肉三狻猊
byig	白羽插雕弓
byij	白羽插腰间
byib	白鱼臣作伴
byiw	白鱼赤乌
byii	白玉窗前起草臣
byix	白玉窗中闻落叶
byii	败于垂成
bydv	白鱼登舟
bydc	白羽抵荆岑
byff	白羽飞书未解纷
byfl	白与粉花连
byfm	白羽风驰碎锦毛
byfq	白羽拂衣轻
bygx	白玉高楼看不见
byhu	白玉壶冰水
byhb	白玉壶中一片冰
byhs	白玉换斗粟
byjb	白羽集神兵
byji	白鱼驾莲船
bykw	白鱼困密网
bylj	白玉兰
bylv	白玉栏干金作柱
bylv	白玉阑干金作柱
bylu	白玉郎仍少
bylj	白玉连徽净
bylr	败育卵
bylz	白羽落酒樽
bylx	白羽绿弓弦
bynl	白玉那缁磷
bynb	百馀年间未灾变
bypm	白玉盘中看却无
bypw	白玉佩
bypj	白羽飘玉京
byxy	白玉栖青蝇
byqz	白玉岂为滓
byqq	败虞千金弃
byry	白鱼如切玉
byrv	白鱼入舟
bysx	白羽三千出井陉
bysq	白羽三千骑
byub	白羽矢飞先火炮
byul	白玉谁家郎
bysg	白玉虽尘垢
bytm	白玉堂前一树梅
bywe	白玉为毛衣
bywx	白玉微瑕
bymx	白玉无瑕
byxm	白玉县
byxg	白玉仙台古
byxl	白玉仙舆紫禁来
byyh	白羽摇丹壑
byyo	白羽摇如月
byyj	白玉一杯酒
byyl	白雨一洗空垂萝
byyu	白雨映寒山
byyy	白羽拥嫖姚
byvd	白玉之石
byvj	白玉之石级
byvs	白羽逐青丝
byvx	白玉麈尾谈重玄
bycv	白猿惭剑术
byiu	白猿初相识
byii	百源川池
bywx	白鼋涡涛戏濑兮
bobq	拜月不胜情
byiq	百越城池枕海圻
boiq	拜月出堂前
bydx	百越待君言即叙
bodx	白月当空虚
bogl	白月宫中鹦鹉林
byhg	百越画图观
byju	百越今无事
bylh	百越赖全活
bomu	白月满寒山
boqx	白月岂知心
byqd	百越去魂断
bywm	百粤雾纷满
byxe	柏悦心应尔
boyv	白月圆时信本真
bovu	拜月妆楼上
bdyy	白云
bybq	白云半峰起
bybz	白云半岩足
bybd	白云抱危石
bybb	白云本是乔松伴
bybx	白云本无心
bycg	白云惭幽谷
bycg	白云苍狗
bycl	白云苍梧来
byih	白云长不还
byim	白云长满目
byiq	白云长相亲
byit	白云长在天
byiy	白云常在眼
byix	白云愁不见
byiw	白云愁色满苍梧
byid	白云愁欲断
byij	白云处处长随君
byit	白云处处通
byiy	白云出岫暂逶迤
bycg	白云辞上国
